stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,otic,periderm,slow.muscle,spinal.cord
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0.81,0.81,0,0,1.61
 48-58,0,0,0,0,0,1.15,0,0.57,0,0,0,1.72,0,0,0,1.15
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.98,0,0.98,0,0,0.98,0,0.98,0.98,0.98,1.96,0,0.98,0.98,0.98
 84-94,0,0,0,0,0,0,0,0,0,0,0,1.06,0,9.56,0,0
 96-106,0,0,0,4.37,0,0,1.09,0,0,0,0,1.09,0,3.28,1.09,0
108-118,0,0,0.77,2.3,0,0.77,0,0,0.77,1.53,0,6.13,0,5.36,0,0
120,0,0,0,1.96,1.96,1.96,0,0,0,0,0,1.96,0,5.88,0,0
