stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,heart,iridophores,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,5.26,0,0,0,0,23.66,2.63,0,2.63,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,1.61,0,0,0,0,0.81,0.81
 48-58,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,1.15,0
 60-70,0,0,0,0,1.96,0,0,0,0,0.98,0,0,0,0.98,0.98,0
 72-82,0,0,0,0,1.96,0.98,0,0,0.98,0,0,0,0,0,0.98,0
 84-94,0,0,0,1.06,1.06,1.06,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,1.09,0,2.19,0,0,0,0,0,0
108-118,0,0,0,0.77,0.77,0,0,0,0,0.77,0,0.77,0,0,0,0.77
120,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0,0
