stage,axial,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,33,83,0,1,0,0,0,0,0,0,12,0,0,0,0,129,0,0,88,25,2,0,0,0,0,0,1,0,6,7,5,0,0,33,0,0
 24-34,0,1.64,9.85,12.31,0,3.28,1.64,0,6.57,0.82,0,0,9.85,0,0.82,0,0,221.63,0,0,108.35,66.49,0,0,0,0,0,0,0,1.64,7.39,11.49,8.21,0,0,130.52,0,0
 36-46,0,0,2.42,0,0,1.61,0,1.61,11.28,2.42,0,0,8.06,0,0,0,0,335.16,0,11.28,91.85,58.81,0.81,0,0,0,0.81,0,0,0.81,4.83,0.81,5.64,0,2.42,77.34,0,0
 48-58,0.57,0,1.72,0.57,0,18.94,2.87,2.3,21.23,6.89,0.57,0,7.46,0,0,0,0.57,495.19,0,15.49,65.99,69.43,0,2.3,1.15,0,1.15,1.15,0,0,5.74,0,4.02,0,2.87,73.45,0.57,1.15
 60-70,0,0,2.94,0,0,14.72,2.94,0.98,19.63,17.67,0,0,6.87,0.98,0,0.98,0,706.7,0,27.48,37.3,53.98,0,0,0,0,7.85,0,0,1.96,5.89,0,1.96,0,15.7,68.71,2.94,1.96
 72-82,0,0,5.89,1.96,0,50.06,4.91,0.98,33.38,40.25,0.98,0,8.83,0.98,0,0,0,1013.08,0,34.36,48.1,96.2,0,0.98,1.96,0,5.89,0.98,0,0,1.96,0,2.94,0.98,26.5,124.67,26.5,0
 84-94,0,0,2.12,0,0,45.67,6.37,1.06,25.49,27.61,0,0,4.25,2.12,1.06,1.06,0,693.51,0,28.68,28.68,57.35,0,0,1.06,0,6.37,3.19,0,2.12,7.43,0,3.19,0,14.87,87.09,32.92,0
 96-106,0,0,6.56,5.46,0,33.88,4.37,3.28,25.14,48.09,0,0,12.02,1.09,0,1.09,1.09,601.07,1.09,31.69,41.53,72.13,1.09,1.09,1.09,0,17.49,2.19,0,5.46,4.37,0,1.09,1.09,19.67,120.21,39.34,0
108-118,0,0,5.36,0.77,0.77,13.79,3.83,5.36,22.21,34.47,0,0,3.83,1.53,1.53,0.77,0,542.3,0.77,19.92,32.94,57.45,0.77,0,0.77,0,12.26,0.77,0,0.77,6.89,0,0,0,6.89,85.02,32.17,0.77
120,0,0,3.92,3.92,1.96,17.64,9.8,3.92,19.6,31.36,0,1.96,3.92,1.96,0,0,3.92,395.88,1.96,19.6,25.48,33.32,0,0,1.96,0,13.72,1.96,0,0,3.92,0,0,0,7.84,60.75,29.4,1.96
