stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,2,0,8,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8,0,0,1,28,0,0,0,0,0,0,0,2,0,1,5,14,0,6,0,0
 24-34,0,2.46,0,0.82,0.82,0,3.28,0,0,0,0,0,0,0,1.64,0,0,6.57,0,0,7.39,0,0,3.28,131.34,0,6.57,0.82,0,0,0,0,0,0,6.57,0,32.83,0,41.04,0,0.82
 36-46,0,0.81,0,0.81,0.81,0,7.25,0,0,0.81,2.42,0,0,0,0,0,1.61,1.61,0,0.81,12.89,0.81,0,5.64,377.86,0,4.03,2.42,0,0,0,0,0,0,4.83,0,81.37,0,25.78,0,0
 48-58,0,1.15,0,2.3,0,0,56.81,1.15,0,2.87,7.46,0,0,0.57,2.87,0,0,0,0,0.57,15.49,0.57,0,4.59,492.32,0,2.3,0.57,0.57,0,0,0,0,0,5.16,0,83.78,0,20.08,0,0.57
 60-70,0,0,0,1.96,0.98,0,183.54,0.98,0.98,2.94,15.7,0,0,0,2.94,0,0.98,0,0.98,0,23.56,0,0,4.91,820.55,0.98,1.96,4.91,0,0.98,1.96,0,0,0,8.83,0,89.32,0,10.8,0,0.98
 72-82,0,0.98,0,6.87,1.96,0,220.87,0.98,0.98,2.94,21.6,0.98,0,0.98,5.89,0,5.89,2.94,0,0,55.95,0,1.96,5.89,748.03,0.98,4.91,3.93,0,0.98,1.96,0,0,0.98,4.91,0,55.95,0,46.14,0.98,2.94
 84-94,0,1.06,1.06,20.18,3.19,1.06,129.57,1.06,0,1.06,13.81,0,0,0,3.19,1.06,3.19,4.25,0,1.06,33.99,0,1.06,1.06,346.22,0,1.06,5.31,0,0,4.25,0,0,0,8.5,0,26.55,1.06,28.68,2.12,1.06
 96-106,0,2.19,0,10.93,4.37,0,89.61,2.19,2.19,3.28,22.95,2.19,0,0,5.46,0,2.19,6.56,1.09,0,32.79,0,0,3.28,304.9,0,0,17.49,0,0,4.37,0,0,1.09,9.84,0,16.39,0,28.41,4.37,0
108-118,0,0.77,0.77,17.62,2.3,2.3,65.11,4.6,4.6,2.3,17.62,0.77,0,0,8.43,0.77,5.36,2.3,0,0,27.57,0,0.77,4.6,339.32,0,3.83,5.36,0,0.77,2.3,0,0,0,3.83,0,14.55,0.77,17.62,2.3,0.77
120,0,0,0,13.72,0,0,82.31,3.92,3.92,3.92,21.56,1.96,0,1.96,9.8,0,1.96,3.92,0,0,13.72,0,0,1.96,303.77,1.96,1.96,11.76,0,1.96,1.96,1.96,0,1.96,1.96,0,5.88,0,17.64,0,0
