stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,490.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,10.51,0,0,15.77,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,165.61,5.26,0,0,34.17,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,15.73,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,97.56,3.15,0,0,44.06,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,15,1,11,0,0,9,1,0,0,0,0,0,0,4,0,0,8,119,5,0,2,4,2,15,1,15,38,0,0,0,1
 24-34,0,0,0,0.82,4.1,0,14.78,1.64,0,0.82,0.82,0,0,0,0,1.64,0,4.1,0,0,1.64,123.95,0.82,2.46,0.82,0,1.64,0,0,0.82,25.45,0,2.46,0,0
 36-46,0,0,0,0,2.42,0,20.95,0,0.81,4.83,0,0,0.81,0,0,0,0,7.25,0,0,5.64,117.63,0.81,1.61,0.81,0,1.61,0,0,0,22.56,0,1.61,0,0.81
 48-58,0,0,0,0,1.72,0,22.38,1.15,0.57,7.46,0,0,0.57,0,0.57,0,0.57,10.33,0,1.15,2.3,45.33,0.57,0.57,0,0,1.15,0,0,0,9.75,0,1.72,0,1.15
 60-70,0,0,0,0,2.94,0,13.74,0,0,4.91,0,0,0,0.98,0,1.96,0,7.85,0,0,0,41.22,0,0,0.98,0,0.98,0,0,0,4.91,0,0.98,0,0
 72-82,0,0,0,0,0.98,0,15.71,0.98,0.98,5.89,0,0,0,0.98,0.98,0,0,8.83,0,0.98,3.93,28.47,0,0,0,0,0.98,0,0,0,1.96,0,0.98,0.98,0
 84-94,0,0,0,0,6.37,1.06,11.68,0,1.06,2.12,0,0,1.06,1.06,0,0,0,6.37,1.06,1.06,1.06,19.12,0,1.06,0,0,5.31,0,0,0,0,0,1.06,1.06,0
 96-106,0,0,2.19,0,3.28,0,7.65,0,0,3.28,1.09,0,0,0,0,2.19,0,9.84,0,0,1.09,12.02,0,1.09,1.09,0,5.46,0,0,0,1.09,0,2.19,0,0
108-118,0,0,0,0,4.6,0,12.26,3.83,0.77,4.6,0,0,0,0,0,0,0,7.66,0,1.53,0,27.57,0,0,0.77,0,8.43,0,0,0,0.77,0,0.77,0,0
120,0,0,0,0,13.72,1.96,0,1.96,1.96,1.96,0,0,1.96,0,0,0,0,13.72,0,0,0,17.64,1.96,0,0,0,7.84,0,0,0,1.96,1.96,1.96,0,0
