stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,18.39,361.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0
  7-9,0,15.77,10.51,0,0,21.03,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,228.7,7.89,0,0,68.35,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.18,62.94,0,3.15,6.29,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,972.41,12.59,0,0,232.88,0,6.29,3.15,34.62,0,12.59,3.15,0,0,0,0
 14-21,0,0,0,16,2,4,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,1,21,1,1,2,1,0,3,5,0,0,7,4,0,0,0,0
 24-34,0,0,0,8.21,0,5.75,0,0.82,0,0,0.82,0,0,0.82,0,0,0,0,0,8.21,0,0,3.28,36.94,0.82,0.82,0,0,0,17.24,0,0,1.64,4.1,7.39,0,0,0,0.82
 36-46,0,0,0,3.22,0,5.64,0,0,0,1.61,0.81,0,0.81,0,0.81,0,0,0,0,3.22,0,0,3.22,15.31,0,0,0.81,0,0,14.5,0,0,0,0.81,4.03,0,0.81,0,0
 48-58,0,0,0,2.87,0,13.77,2.3,0.57,0,6.31,0,0,0.57,0.57,0,0.57,0,0,0,12.62,0.57,0.57,2.3,45.9,0.57,0,1.15,0,0,9.75,0,0,0.57,0,9.75,0,0,0,0
 60-70,0,0,0,5.89,0,5.89,2.94,0,0.98,0.98,0.98,0.98,0,0,0.98,0,0,0,0,11.78,0,0,2.94,17.67,0,0,0,0,0,8.83,0,0,0.98,0,1.96,0,0,0.98,0.98
 72-82,0,0,0,1.96,0,11.78,0.98,0,0,1.96,0,0,0,1.96,1.96,0,0.98,0.98,0.98,13.74,0,0,7.85,20.61,0,0.98,0.98,0,0,11.78,0,0,1.96,0,2.94,0,0.98,0,0
 84-94,0,0,0,3.19,1.06,13.81,4.25,3.19,0,1.06,0,0,0,0,1.06,1.06,0,0,0,15.93,0,0,2.12,16.99,1.06,0,1.06,0,0,22.3,0,1.06,0,0,4.25,0,2.12,0,0
 96-106,0,0,0,0,0,1.09,0,2.19,0,1.09,1.09,0,0,3.28,1.09,0,0,0,0,12.02,0,0,4.37,5.46,0,0,0,0,0,19.67,0,0,1.09,0,1.09,0,1.09,0,0
108-118,0,0,0.77,3.83,0,4.6,4.6,2.3,1.53,5.36,0.77,0,0,0.77,2.3,0,0,0.77,0.77,18.38,0,0,7.66,24.51,0,0.77,1.53,0,0,11.49,0,0,1.53,0,1.53,0,0.77,0.77,0
120,0,0,0,11.76,1.96,11.76,5.88,1.96,1.96,13.72,1.96,0,0,11.76,3.92,0,0,0,0,19.6,0,0,9.8,52.91,1.96,0,0,0,1.96,54.87,0,1.96,3.92,0,1.96,1.96,9.8,1.96,0
