stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,300.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,73.56,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,13.14,7.89,0,0,0,57.83,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,636.15,5.26,0,0,70.98,0,34.17,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,25.18,0,3.15,0,37.76,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,242.32,0,0,0,50.35,0,12.59,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,13,38,5,0,7,0,0,0,0,1,2,2,0,2,1,0,11,1,9,0,0,3,37,7,0,0,0,0,56,0,0,0,0,22,0,0,0,0,1
 24-34,0,0,4.1,18.88,0,0,4.1,0,0.82,0,0,0,5.75,7.39,0,9.85,1.64,0,7.39,6.57,4.93,16.42,0,1.64,96.04,3.28,3.28,0,0,0,82.91,0,0.82,0.82,0,32.83,0,0,0,0,4.1
 36-46,0,0,0.81,11.28,0,0,10.47,0.81,1.61,0,8.06,0,0.81,8.06,0,2.42,0.81,0,0,2.42,9.67,8.86,0,1.61,206.25,1.61,1.61,0,0,0,64.45,0.81,0.81,0,0.81,67.68,0,0,0,0,3.22
 48-58,0,0,0,8.03,0,0,37.3,1.15,0.57,0.57,9.75,0.57,8.03,8.03,0,2.3,1.15,0,2.3,8.61,22.38,14.35,0,3.44,294.36,1.72,1.72,0.57,0,0,53.36,0,0,0,0,64.27,0,0,0.57,0,4.02
 60-70,0,0,0,15.7,0,0,171.77,0,0,1.96,8.83,1.96,2.94,10.8,0.98,2.94,2.94,0,0,3.93,21.59,13.74,0,3.93,420.09,0.98,5.89,1.96,0,1.96,76.56,0,0,0,0,53,1.96,0,1.96,0,0.98
 72-82,0,0,0,25.52,0.98,0,225.78,0.98,3.93,0,9.82,7.85,7.85,13.74,0,5.89,0.98,0.98,0,3.93,56.94,30.43,3.93,8.83,351.43,2.94,4.91,0.98,0,0.98,118.78,0,0,0.98,0,24.54,5.89,0.98,2.94,1.96,1.96
 84-94,0,0,0,44.61,3.19,1.06,135.94,1.06,6.37,0,9.56,12.74,5.31,4.25,2.12,9.56,2.12,0,2.12,4.25,36.11,23.36,4.25,4.25,149.75,2.12,3.19,2.12,0,0,263.39,0,0,0,0,13.81,7.43,1.06,3.19,1.06,2.12
 96-106,0,0,0,42.62,2.19,0,131.14,0,3.28,1.09,6.56,16.39,2.19,13.11,2.19,10.93,1.09,2.19,3.28,2.19,22.95,41.53,2.19,5.46,126.77,2.19,3.28,1.09,1.09,0,288.51,1.09,0,0,0,8.74,1.09,2.19,2.19,2.19,3.28
108-118,0,0,0,44.43,0.77,1.53,94.98,0.77,3.06,0.77,9.19,28.34,0,7.66,2.3,13.79,3.06,0,1.53,7.66,36.77,31.4,3.06,0,133.28,2.3,2.3,0,0,0,143.24,0,1.53,1.53,0,1.53,6.89,0.77,3.83,2.3,3.83
120,0,0,0,35.28,1.96,0,82.31,1.96,3.92,1.96,5.88,11.76,0,7.84,0,9.8,0,0,1.96,1.96,19.6,19.6,0,3.92,162.66,7.84,9.8,0,0,0,117.59,0,0,0,0,3.92,7.84,1.96,1.96,0,3.92
