stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.2,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.8,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,0,0,5.26,0,15.77,0,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,6.29,0,9.44,0,0,0,0,0,0
 14-21,0,0,12,0,1,0,0,0,0,0,0,4,0,0,1,0,1,12,0,1,0,0,65,1,1,0,0,0,0
 24-34,0,0,3.28,0.82,0.82,0.82,0,0,0.82,0.82,0,6.57,0,0,0,0,0.82,20.52,2.46,0,0,0,51.71,0,4.93,0,0,0.82,0
 36-46,0,0,0.81,0,7.25,0,0,0,0,0,0,1.61,1.61,0,0,0,0,20.14,4.03,0,0,0,48.34,0,4.83,0,0,0,0
 48-58,0,0,1.15,0,5.74,0,0,1.15,0,0,0,1.72,0,0,0.57,2.87,0,18.94,0.57,1.15,0,0,22.38,0,2.87,0,0,0,0
 60-70,0,0,3.93,0,3.93,0.98,0,1.96,0,0,0,0,0.98,0,0,1.96,0,22.58,3.93,0,0,0,14.72,0,1.96,0,0,0,0.98
 72-82,0,0,8.83,0,2.94,0,0.98,0,0,0,0,1.96,0,0,0.98,1.96,0.98,8.83,2.94,0.98,0,0.98,18.65,0,0.98,0.98,0.98,0,0
 84-94,0,0,14.87,0,3.19,2.12,0,0,1.06,0,0,3.19,1.06,0,1.06,4.25,0,12.74,0,1.06,0,0,47.79,0,0,3.19,0,0,0
 96-106,0,0,26.23,0,2.19,0,0,0,2.19,0,0,2.19,2.19,0,1.09,3.28,0,8.74,7.65,2.19,0,0,53.55,0,0,9.84,0,0,0
108-118,0,0,32.94,0,3.06,2.3,0,0,3.83,0,0.77,6.13,0.77,0.77,0,1.53,0,8.43,1.53,0.77,0,0,26.04,0,0,5.36,0,0,0
120,0,0,27.44,0,0,3.92,0,0,0,0,1.96,0,0,0,1.96,1.96,0,5.88,0,1.96,0,0,17.64,0,0,7.84,0,0,0
