stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,2.63,0,0,0,0,0,0,15.77,0,0,15.77,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,31.47,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,1,0,0,0,0,2,1,0,0,0,2,1,0,0,0,0
 24-34,0,0,0,2.46,0,0,0,0,0.82,0,12.31,0,0,0,0.82,0,0,0,0,0.82,0
 36-46,0,0,0.81,1.61,0,0.81,0,0,0.81,0.81,7.25,0,0,0,0,0,2.42,0,0,0,0
 48-58,0,0,1.15,4.02,0,0.57,0,0,0,0.57,5.16,0,0,0,0,0,1.15,0,0,0,0
 60-70,0,0,0,1.96,0,0.98,0,0,0.98,0.98,13.74,0,0,0,0.98,0,0.98,0,0,0,0
 72-82,0,0,0.98,1.96,0,1.96,0,0,0.98,0,7.85,0,0.98,0,0,0,0.98,0,0,0,0
 84-94,0,0,1.06,4.25,1.06,2.12,0,0,0,0,3.19,0,1.06,0,1.06,0,0,1.06,1.06,0,1.06
 96-106,0,0,0,0,0,0,1.09,0,1.09,0,4.37,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,2.3,1.53,0,0.77,0,0,2.3,0,7.66,0,0.77,0,0,0,0.77,0,0,0,0
120,0,0,1.96,1.96,0,0,0,1.96,3.92,1.96,13.72,0,0,0,1.96,0,1.96,0,0,0,0
