stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,13.18,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,484.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0
  7-9,13.14,5.26,10.51,0,0,7.89,0,0,0,0,2.63,0,0,0,0,0,252.36,18.4,0,0,202.41,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0,0,91.26,22.03,0,0,198.26,0,0,3.15,12.59,0,3.15,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,7,5,0,0,2,0,0,74,0,1,97,7,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,1.64,0.82,5.75,0.82,0,0.82,0,0,0.82,0,0,0,9.85,2.46,0,0
 36-46,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,4.03,0.81,16.92,0,0,0,0,0,0.81,0,0,0,0,3.22,0,0
 48-58,0,0,0,0,0,5.74,0,0,1.72,0,0,0,0.57,0,2.3,0,5.74,0,0,0,0,0,1.15,0,0,0,0,2.87,0,0
 60-70,0,0,0,0,0,5.89,0.98,0.98,4.91,0,0,0,0,1.96,4.91,0.98,17.67,0,0,0,0,0,2.94,0,0,0,0,0.98,0,0
 72-82,0,0,0,1.96,0.98,5.89,0,0,1.96,0,0,0,0,0,0.98,0,13.74,0,0,0,0,0,0,0,0.98,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,2.12,0,3.19,0,0,1.06,0,0,3.19,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,2.19,0,0,1.09,0,6.56,0,0,0,0,1.09,0,0,0,0,0,0,1.09,1.09
108-118,0,0,0,0,0,1.53,0,0,1.53,0,0,0,0,0,3.83,0,2.3,0,0,0,0,0,0,0,0,0,0,0.77,0,0
120,0,0,0,1.96,0,1.96,0,0,0,1.96,0,0,0,0,1.96,0,3.92,0,1.96,0,0,0,0,0,0,0,0,0,0,0
