stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,9.44,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,50,0,2,0,0,0,6,0,0,0,0,1,0,0,0,1,0,0,9,148,22,0,1,5,0,1,0,4,0,0,1,52,0,0,0,0,4
 24-34,0,0,7.39,162.53,0.82,4.1,0,2.46,0.82,10.67,0,3.28,0,0.82,0,0.82,0,0,27.09,2.46,0,18.06,167.45,5.75,0.82,0.82,0,0,7.39,0,0,1.64,0.82,4.1,98.5,0,0,44.33,0,6.57
 36-46,0,0,3.22,108.77,0,3.22,0,17.72,12.89,5.64,0,1.61,0,0,0,0,0.81,0,38.67,0,0,7.25,77.34,0,0,0.81,0,0,7.25,0,0,0.81,1.61,0,52.37,0,0,29.81,0,8.06
 48-58,0,0,1.72,112.47,0.57,9.75,0.57,31.56,18.36,2.87,0.57,1.72,0.57,0,1.72,0,0.57,0,60.25,0.57,0,2.3,133.12,0,0,0.57,0,0,2.87,0,0,0.57,0,0,35,0,0,26.97,0,12.05
 60-70,0,0,0,81.47,0,18.65,0.98,29.45,24.54,0.98,0.98,1.96,0,0,3.93,0,0,0,45.15,0.98,0,1.96,126.62,0,0.98,0.98,0,0,0,0,0,0.98,0.98,0,13.74,1.96,0,13.74,0,5.89
 72-82,0,0,0,95.22,0.98,41.23,0.98,36.32,39.27,4.91,1.96,1.96,0,0,2.94,0,0,0.98,51.05,1.96,0.98,2.94,80.5,0,0,1.96,0,0,0.98,0,0,0,5.89,0,11.78,1.96,0,34.36,0,3.93
 84-94,0,1.06,0,198.6,0,66.91,4.25,60.54,24.43,5.31,2.12,1.06,0,0,9.56,0,0,0,31.86,1.06,2.12,3.19,43.54,0,0,0,0,0,2.12,0,0,0,8.5,0,8.5,9.56,0,36.11,0,1.06
 96-106,0,1.09,0,149.72,1.09,72.13,3.28,53.55,13.11,5.46,2.19,0,1.09,0,6.56,0,0,0,34.97,0,0,3.28,40.44,1.09,2.19,0,0,1.09,1.09,1.09,0,0,3.28,0,9.84,10.93,2.19,38.25,2.19,2.19
108-118,0,0,0.77,146.3,1.53,82.72,7.66,80.43,19.15,2.3,4.6,0.77,0.77,0,13.79,2.3,0,0,23.74,0,0,3.83,55.92,0,0.77,0,0,0,0.77,0,0,0,7.66,0,6.13,12.26,2.3,23.74,0.77,4.6
120,0,0,0,109.75,1.96,45.08,0,54.87,9.8,3.92,7.84,0,0,0,3.92,0,0,0,7.84,0,1.96,1.96,45.08,0,1.96,1.96,0,0,0,0,1.96,0,3.92,0,3.92,9.8,1.96,11.76,0,0
