stage,axial,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,26.29,2.63,0,0,2.63,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0.81,0,0,0,0,0.81,0,3.22,0.81,1.61,0,0,0,1.61,1.61,0
 48-58,0,0,0,0,0,0.57,0.57,0,1.72,0.57,7.46,0,0,0.57,0,0,0,1.72,0
 60-70,0,0,0,0.98,0,0,0,0,0.98,0,2.94,0,0,0.98,0,0,0,1.96,0
 72-82,0,0,0,0.98,0.98,0,0,0,0,0,1.96,0,0,0,0,0.98,0,0.98,0
 84-94,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0.77,0,0,0.77,0,0.77,0,0,0,0.77,0,0,0,0,0,0.77
120,0,0,1.96,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0
