stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,18,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,5.75,7.39,0,0,0,0,0,0,0.82,40.22,0,0,0,0.82,0,0
 36-46,0,0,0.81,0,0,0.81,8.86,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,5.64,7.25,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0
 48-58,0.57,0,0,0,0,1.15,10.9,0.57,0,1.72,0,0,0,0,0,0,0.57,0,0,8.61,0,0,4.02,43.04,1.72,0,0,0,0,0,0,0,1.15,0,0,0,0,0
 60-70,0,0,0.98,0,0,3.93,21.59,0,0,10.8,0,0,0,0,0,0,0,0,0,12.76,0,0.98,3.93,77.54,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,4.91,0,0,15.71,8.83,0,0.98,52.03,0,0,0,0,0,0,0,1.96,0,63.81,0,0,7.85,153.14,0,0,0,0,0,0,0,0,1.96,0.98,0,0.98,0.98,0
 84-94,0,0,5.31,2.12,0,20.18,3.19,0,1.06,26.55,0,1.06,0,2.12,0,2.12,0,0,0,35.05,0,5.31,4.25,135.94,0,0,1.06,0,1.06,0,0,0,1.06,1.06,1.06,1.06,0,1.06
 96-106,0,0,5.46,3.28,1.09,13.11,8.74,1.09,0,62.29,0,0,0,1.09,0,3.28,1.09,2.19,0,51.36,1.09,2.19,8.74,153,0,1.09,1.09,0,2.19,0,0,0,0,0,3.28,0,4.37,0
108-118,0,0,3.83,2.3,0.77,9.96,13.79,0,0,41.36,0.77,0,0.77,0,2.3,0.77,0,0,1.53,43.66,0,2.3,3.83,127.15,0.77,0,0,0,2.3,2.3,0,0,0,0,0,0.77,2.3,0.77
120,0,0,5.88,3.92,0,5.88,21.56,0,0,31.36,1.96,0,0,0,0,0,0,0,0,35.28,0,1.96,7.84,121.51,0,0,1.96,0,7.84,0,0,0,0,0,0,0,0,0
