stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,224.02,2872.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0
  5-6,122.59,1655,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,36.78,6.13,0,0,18.39,0,49.04,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,15.77,0,0,5.26,0,0,0,0,7.89,0,0,0,0,0,0,0,0,173.5,0,0,0,42.06,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,12.59,0,0,0,0,6.29,0,0,0,0,0,0,0,0,91.26,9.44,0,0,94.41,0,0,3.15,0,0,0,37.76,3.15,0,0,0,0
 14-21,0,0,0,0,9,1,2,0,0,0,0,1,2,0,0,0,0,1,5,2,28,1,0,0,0,0,0,0,8,0,235,193,24,0,0,0,0
 24-34,0.82,0,0,0,1.64,0,9.85,2.46,0.82,0.82,0,0,0,0,0.82,0.82,0,7.39,0.82,9.03,34.48,0.82,0,0,0,0,0,0,0,0,95.22,19.7,11.49,0,7.39,0,7.39
 36-46,0,0,0,0,0,0,3.22,0.81,1.61,1.61,0.81,0,0,0,0,0,1.61,14.5,2.42,0,24.98,0,0,0,0,0,0,0,0,0.81,26.59,0.81,12.09,0,1.61,0,0.81
 48-58,0,0,0,0,1.15,0,1.15,0,0.57,1.72,0.57,0,0,0.57,0,0,1.72,10.33,4.59,2.87,30.99,0,0.57,0,0,0,0,0,0,1.15,2.3,0,4.59,0,2.87,0,2.87
 60-70,0,0,0,0,0,0.98,6.87,0,0.98,6.87,1.96,0,0,1.96,0,0,1.96,5.89,0.98,2.94,54.97,0,0,0,0,0,0,0,0,2.94,0.98,0,9.82,0,3.93,0,0
 72-82,0,0,0,0,0,0,4.91,0,0.98,8.83,0.98,0,0,2.94,0,0,4.91,3.93,9.82,1.96,51.05,0,0,0,0,0,0,0,0,2.94,0,0,1.96,0,8.83,0,0.98
 84-94,0,0,1.06,0,0,0,5.31,0,1.06,4.25,18.05,0,0,1.06,1.06,1.06,8.5,6.37,5.31,1.06,28.68,0,2.12,1.06,0,0,1.06,0,0,5.31,2.12,0,1.06,1.06,4.25,1.06,0
 96-106,0,0,1.09,0,0,0,5.46,0,1.09,9.84,12.02,0,0,1.09,0,1.09,3.28,4.37,2.19,0,31.69,0,1.09,1.09,0,0,2.19,0,0,7.65,0,0,1.09,0,5.46,0,2.19
108-118,0,0,2.3,0,2.3,0,6.89,0,0.77,2.3,14.55,0,0,2.3,0,0.77,9.19,4.6,2.3,0.77,32.94,0,0,0.77,0,0.77,0,0,0,3.83,0,0,0.77,0.77,3.83,0,0
120,0,0,3.92,0,0,0,3.92,0,0,1.96,9.8,0,0,0,0,0,3.92,3.92,1.96,0,47.03,0,0,0,0,0,0,0,0,5.88,0,0,0,0,1.96,0,1.96
