stage,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,immune,iridophores,melanocytes,mesenchyme,mural.cell,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,7.89,0,0,10.51,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,3.15,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,4,131,0,1,0,7,0,3,1,0,0
 24-34,0,0,0,0.82,0.82,0,0.82,0,0,2.46,0,0,13.13,88.65,0,0,0,0,0,2.46,1.64,0.82,0
 36-46,0,0,0,0.81,0,0,0,0,0,29.81,0,0,11.28,66.06,0,0,0,0,0,0,2.42,0.81,0.81
 48-58,0,0,0,3.44,0,0,0.57,0,0.57,43.04,1.72,0,10.9,14.92,0.57,0,0,0,0,0,1.72,0.57,0
 60-70,0,0.98,0,9.82,0,0,0,0,0,22.58,1.96,0,6.87,7.85,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,17.67,0,0,0,0,0,23.56,0.98,0,7.85,0.98,0,0,0,0,0,0,1.96,0.98,0
 84-94,0,0,0,19.12,0,0,0,0,0,36.11,0,0,5.31,0,0,0,1.06,0,0,0,0,1.06,0
 96-106,0,0,0,9.84,0,1.09,0,0,1.09,27.32,2.19,0,4.37,2.19,1.09,0,0,0,1.09,0,0,0,0
108-118,0,0,0,10.72,0,0,0.77,0,0,20.68,0,0.77,3.06,5.36,0,0,0,0,1.53,0,0,0,0
120,0,0,1.96,1.96,0,0,1.96,1.96,0,11.76,0,0,7.84,0,0,0,0,0,0,0,0,0,0
