stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,6.13,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0
 24-34,0,0,0,1.64,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0.82,73.06,0,3.28,0,0,0,0,0,0,40.22,0,0.82,0,0.82
 36-46,0,0,0,0,0,8.06,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0,0,284.4,0,0.81,0,0,0,0.81,0,0,75.73,0,0,0,0
 48-58,0,0,0,0,0.57,31.56,0,0,0,10.9,0,0,0,0,0.57,0,0.57,0,2.87,0,0,0,420.6,0,0,0,0,0,0.57,0,0,57.95,0,0,0,0.57
 60-70,0,0,0,3.93,0.98,194.34,0,0,0,44.17,0.98,0.98,0.98,0,0,0.98,0,0.98,8.83,0,0,0,1118.94,0,0,0.98,0,0.98,0,0,0,91.28,0,0,0,0
 72-82,0,0,0,4.91,0,344.56,0,0.98,0,67.73,0.98,0,0.98,0.98,0,0,0,0,20.61,0,1.96,1.96,973.81,0,0.98,0,0,0,0.98,0,0.98,78.53,0,1.96,0.98,1.96
 84-94,0,0,0,4.25,0,198.6,1.06,0,0,32.92,1.06,0,0,0,0,0,0,0,12.74,0,3.19,0,517.21,1.06,0,0,0,1.06,0,0,0,42.48,0,0,4.25,2.12
 96-106,0,0,0,14.21,3.28,167.21,0,1.09,1.09,25.14,0,0,0,0,0,0,1.09,0,18.58,0,2.19,0,417.47,1.09,0,0,0,0,6.56,0,0,19.67,1.09,0,2.19,0
108-118,0,0,0.77,17.62,0,137.11,0,0,0.77,19.15,2.3,0,0.77,0,0,0,0.77,0,12.26,0,0,0.77,549.96,0,2.3,0.77,0,0,0.77,0,0,13.79,1.53,0.77,0.77,0
120,0,0,0,5.88,1.96,117.59,0,1.96,0,25.48,0,0,3.92,0,0,0,0,0,21.56,1.96,1.96,1.96,550.7,0,0,1.96,0,1.96,1.96,1.96,0,15.68,0,1.96,0,0
