stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.52,2.63,0,0,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,12,0,0,1,0,0,0,1,1,81,0,0,0,0,0
 24-34,0,0,15.6,4.1,0,0,0,0,0,0,3.28,4.1,0,0,0.82,0,0,1.64,0.82,0,0,0,9.03,27.91,0,0.82,0,0,0,0,0,104.25,0,0,0.82,0,0
 36-46,0,0,1.61,1.61,0,0,0.81,0,0,0,2.42,6.45,0,0,0,0,0,7.25,0,0,0,0,13.7,53.17,0.81,0,0,0,0,0,0,51.56,0,0,0,0,0
 48-58,0,0,0.57,1.72,0,0,3.44,0,0,0,3.44,2.87,0,0,0,0.57,0,22.95,2.3,0,0.57,0,10.9,36.72,0,0.57,0,0,0,0,0,53.94,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,3.93,0,0.98,0,17.67,2.94,0.98,0,0,1.96,0,26.5,3.93,0,0,0.98,4.91,18.65,0,0,0,0,0,0,0,30.43,0,0,0,0.98,0.98
 72-82,0,0.98,0.98,0.98,1.96,4.91,7.85,0.98,0,0,27.49,7.85,0,1.96,0,0.98,0,132.52,8.83,0.98,0.98,0.98,27.49,20.61,0,1.96,0,0,0.98,0,0,31.41,1.96,0.98,0.98,0.98,0.98
 84-94,0,2.12,0,3.19,0,7.43,2.12,0,0,0,13.81,16.99,0,1.06,0,9.56,0,466.23,9.56,2.12,4.25,1.06,18.05,25.49,1.06,1.06,0,0,6.37,1.06,0,24.43,0,2.12,0,3.19,0
 96-106,0,2.19,0,9.84,4.37,7.65,15.3,0,0,1.09,26.23,17.49,0,2.19,2.19,6.56,0,714.72,21.86,0,3.28,2.19,97.26,8.74,3.28,2.19,0,0,7.65,0,0,24.04,0,1.09,3.28,10.93,0
108-118,0,0.77,0,4.6,1.53,26.04,14.55,0,0.77,0,16.09,7.66,0.77,3.06,0.77,14.55,0.77,1353.46,13.79,0,1.53,0.77,78.89,10.72,1.53,0,0,1.53,3.06,0.77,0,13.79,1.53,0,2.3,8.43,0
120,0,0,0,1.96,0,7.84,13.72,0,0,0,7.84,1.96,0,0,0,19.6,0,580.1,7.84,1.96,0,0,45.08,13.72,0,0,0,0,0,1.96,0,9.8,0,0,0,3.92,0
