stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,1.64,0,2.46,0,0,1.64,0,0,0,0,0,0,0,4.1,0.82,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,1.61,0,9.67,0,0.81,2.42,0,0,0,0,0,0,0,2.42,1.61,0,0,0,0,1.61,0,0.81,0
 48-58,0,0,0,0,0.57,0,6.31,0.57,21.23,0,0.57,1.72,0,0,0,0,2.87,0,0,5.16,1.15,0.57,0,0.57,0,2.3,0,0.57,0.57
 60-70,0,0,0,0,1.96,0,4.91,0.98,22.58,0,0.98,0,2.94,0,0,0,7.85,0.98,0.98,16.69,4.91,0,0,0,0,2.94,0,2.94,0
 72-82,0,0,0,0,8.83,2.94,3.93,0,29.45,1.96,4.91,2.94,22.58,0,0,0,11.78,0,1.96,46.14,15.71,0,0,0,0,1.96,0,6.87,0
 84-94,0,0,0,1.06,6.37,5.31,0,1.06,23.36,1.06,4.25,0,18.05,0,1.06,1.06,11.68,0,0,21.24,7.43,0,2.12,1.06,1.06,0,0,5.31,0
 96-106,0,1.09,0,2.19,17.49,5.46,2.19,0,15.3,1.09,5.46,2.19,22.95,1.09,0,2.19,17.49,1.09,0,39.34,14.21,0,0,0,0,1.09,1.09,8.74,0
108-118,0,0,0,0,16.09,0.77,3.06,0,11.49,0,9.96,2.3,21.45,0,0,0,9.19,0.77,1.53,32.17,8.43,0,0,0,0,2.3,0.77,6.13,0
120,0,0,0,0,3.92,0,1.96,1.96,1.96,1.96,1.96,5.88,13.72,0,0,0,11.76,0,3.92,27.44,9.8,0,0,0,0,3.92,0,7.84,0
