stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,94.41,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,1,4,48,0,0,144,0,99,0,26,23,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0,0,1.64,0,0,3.28,52.53,0,0,0,0,0,0.82,4.93,4.1,0,0,0,0
 36-46,0,0,0,0,1.61,0,0.81,0,0,0,0,0,0,0,3.22,0,1.61,2.42,49.95,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,0.57,0,0,0,0,0,0,0,35.58,0,2.3,4.59,15.49,0.57,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,124.65,0,1.96,1.96,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.98,0,0,9.82,0.98,2.94,0,0,0,0,0.98,0.98,0.98,237.56,1.96,3.93,11.78,1.96,0,0.98,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,1.06,0,16.99,1.06,1.06,0,0,1.06,0,1.06,0,0,146.56,1.06,2.12,10.62,0,0,0,0,0,0,0,0,1.06,0,0,3.19,0
 96-106,0,2.19,0,0,10.93,0,2.19,1.09,0,0,1.09,0,0,0,187.97,2.19,2.19,13.11,0,0,0,0,2.19,0,0,0,0,0,3.28,0,0
108-118,0,3.06,0,0.77,3.06,0,3.83,0,0,0.77,0,0.77,0,0,155.49,3.06,2.3,10.72,0,0,0,0,0.77,0,0,0,0.77,0.77,2.3,0,0.77
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,107.79,0,3.92,7.84,0,0,1.96,0,0,0,0,0,0,0,0,0,0
