stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,10.51,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,35,1,0,0,0,0,2,1,2,0,0,0,0,0,1,0,9,15,0,0,1,0,0,2,2,0,0,1,6,30,0,0
 24-34,0,0,1.64,7.39,5.75,0,0.82,0,1.64,0,0,6.57,0,7.39,0,0.82,0,1.64,1.64,4.1,37.76,0,0,7.39,0,0,3.28,0,0,0.82,0.82,40.22,128.05,0,0
 36-46,0,0,0.81,2.42,3.22,0.81,0.81,0,1.61,0,0,4.83,0,0.81,0,0,0,3.22,4.83,5.64,36.26,0,0,4.03,0,0,4.03,0,0,0.81,0,45.92,70.9,0,0.81
 48-58,0,0,1.15,0.57,6.89,0,0,0,3.44,0,0,3.44,0.57,2.3,0.57,2.3,0,1.15,5.16,5.74,29.26,0,0.57,8.03,0,0,0.57,0,0,0,0,28.12,49.35,0,2.3
 60-70,0,0,3.93,0.98,27.48,0,0,2.94,14.72,0,0,2.94,0,0,3.93,5.89,0,5.89,1.96,0.98,25.52,0,0.98,16.69,0,0,0.98,0,0.98,0,0,36.32,47.11,0,1.96
 72-82,0,0,2.94,0,83.44,0,0,0,31.41,0.98,0,5.89,0,0,0,15.71,0.98,5.89,2.94,1.96,30.43,0,0,36.32,0,0,0.98,0,0.98,0,0,27.49,62.83,0,1.96
 84-94,0,0,2.12,0,71.16,0,0,0,27.61,2.12,0,2.12,0,1.06,2.12,10.62,0,6.37,4.25,1.06,15.93,0,0,33.99,0,0,0,0,0,0,0,15.93,71.16,0,0
 96-106,0,0,2.19,1.09,80.87,1.09,0,0,27.32,8.74,0,4.37,1.09,0,4.37,28.41,0,4.37,3.28,1.09,15.3,0,0,50.27,0,0,1.09,0,1.09,0,0,0,72.13,1.09,0
108-118,0,0,2.3,1.53,50.55,0,0,0,24.51,5.36,0,0.77,0,1.53,2.3,14.55,0,3.06,1.53,0.77,19.92,0,0,36.77,0,0.77,0,0,0,0,0,4.6,45.19,0.77,0
120,0,0,3.92,1.96,47.03,1.96,0,0,23.52,1.96,1.96,1.96,1.96,1.96,1.96,21.56,0,1.96,0,0,5.88,0,0,29.4,0,0,0,0,0,0,0,3.92,31.36,0,0
