stage,axial,blastomeres,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0
  7-9,7.89,7.89,0,34.17,0,0,0,2.63,0,0,0,0,0,0,0,0,194.52,18.4,0,0,60.46,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,69.23,0,0,0,3.15,0,0,0,0,0,0,0,0,232.88,3.15,0,0,31.47,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,8,0,0,2,0,0,0,0,5,0,9,23,0,0,0,0,0,0,0,1,1,14,0,0,0
 24-34,0,0,0.82,1.64,2.46,5.75,0,0,0.82,0,0,0.82,0,25.45,0,15.6,59.92,0,0,0,0,0,0,0.82,0,2.46,29.55,0,0.82,0
 36-46,0,0,0,2.42,0.81,0.81,0,0,2.42,0,0,0,0,21.75,0.81,8.06,49.15,0,0.81,0,0,0,0,0,0,0,28.2,0,0,0
 48-58,0,0,0,2.3,2.87,2.87,0,0,0.57,0,0,0,0,18.36,0,1.15,12.05,0,0,0,0,0,0,0,0,0,9.18,0,1.15,0
 60-70,0,0,0,1.96,0.98,4.91,0,0,0,0,0,0,0.98,34.35,0,2.94,19.63,0,0,0,0,0.98,0,0,0,0,3.93,0,0,0
 72-82,0,0,0,3.93,2.94,0.98,0.98,0,0.98,0,0,0,0,41.23,0,5.89,21.6,0,0,0,0,0.98,0,0.98,0,0,3.93,0.98,1.96,0
 84-94,0,0,1.06,6.37,0,4.25,0,0,0,0,0,0,0,44.61,0,2.12,14.87,0,0,1.06,0,0,2.12,0,0,0,2.12,1.06,1.06,2.12
 96-106,0,0,1.09,2.19,1.09,6.56,0,0,0,0,0,0,0,38.25,1.09,0,5.46,0,0,0,0,2.19,0,0,0,0,3.28,0,0,0
108-118,0,0,0,1.53,2.3,3.83,0,0,0,0,0,0,0,24.51,0,1.53,11.49,0.77,0,0,0,0,0,0,0,0,0.77,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,1.96,0,0,37.24,0,1.96,17.64,0,0,0,0,0,0,0,0,0,0,1.96,1.96,0
