stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,39.53,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,12.26,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,3,0,0,3,13,3,0,1,0,2,12,1,4,7,0,0,0
 24-34,0,0,1.64,2.46,0,2.46,0,0,0,0,1.64,0,0.82,0,0.82,4.1,0,0,5.75,11.49,0,0,0.82,0,2.46,0,0,1.64,2.46,0,0,0
 36-46,0,0,0,0.81,0,0.81,0.81,0,0,0.81,0,0.81,0,0.81,0,3.22,0,0.81,4.83,1.61,0,0,0,0,2.42,0,0,0,1.61,0,0,0
 48-58,0,0,0,0,0,1.72,0,0,0.57,0,0,0,0,0,0,2.3,0,0,1.72,2.3,0.57,1.15,0,0,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0.98,0.98,3.93,0.98,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,0.98,0.98,0,2.94,0.98,0.98,0,0,0,0,7.85,0,0,0.98,0.98,0,0,0.98,0,0,0,0,0,0.98,0,0,1.96
 84-94,0,0,0,1.06,0,1.06,0,0,1.06,2.12,0,0,0,0,0,2.12,1.06,0,1.06,1.06,1.06,0,0,0,1.06,0,0,0,0,1.06,0,1.06
 96-106,0,0,0,0,0,2.19,1.09,1.09,0,1.09,0,0,0,0,0,1.09,0,0,0,5.46,0,0,2.19,0,1.09,0,0,0,0,1.09,1.09,5.46
108-118,0,0,0,0.77,0,1.53,0,0,1.53,3.83,0,0,0,2.3,0,4.6,0,0,3.06,0,1.53,0,0.77,0,3.06,0,0,0,0.77,0,0,3.06
120,0,0,0,1.96,0,0,0,0,0,1.96,1.96,0,0,0,0,3.92,0,1.96,1.96,0,1.96,0,0,0,1.96,0,0,0,0,0,1.96,1.96
