stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,3070.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0,0,0
  5-6,116.46,1691.78,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,12.26,0,0,18.39,0,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,42.06,0,60.46,0,0,0,157.72,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,1125.09,13.14,0,0,457.4,0,5.26,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,59.79,0,69.23,0,6.29,0,182.52,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,1582.93,22.03,0,0,506.66,0,0,6.29,0,50.35,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,18,180,56,0,194,0,0,46,3,0,2,0,10,0,4,0,0,121,1,0,83,2601,48,11,26,69,0,24,4,138,13,1,133,693,0,0,6,0,0
 24-34,0,0,0.82,5.75,68.13,22.16,0,595.94,0,3.28,43.51,0,0.82,1.64,4.93,7.39,3.28,6.57,1.64,0.82,230.66,0.82,2.46,77.98,2683.38,8.21,20.52,20.52,0.82,0,28.73,0,1.64,3.28,0.82,12.31,504.01,0,0,21.34,0,1.64
 36-46,0,0,0,0.81,27.39,4.83,0,812.11,2.42,0.81,30.62,0.81,0,2.42,4.83,0,2.42,1.61,0.81,0,157.91,0.81,3.22,41.89,1318.88,4.03,10.47,8.06,0,0,15.31,0,0.81,0.81,0,0,248.95,0,0,8.06,0,4.83
 48-58,0,0,0,0.57,20.08,1.15,0,679.38,1.15,3.44,39.02,3.44,0,1.15,2.3,1.15,1.72,3.44,1.72,1.15,154.93,0.57,6.31,35.58,548.56,2.3,2.87,2.3,0,0,3.44,0,0.57,0.57,0,0,83.78,0,0,9.18,0.57,3.44
 60-70,0,0,0,0,16.69,0,0.98,445.61,1.96,0.98,64.78,7.85,0.98,0.98,2.94,0,3.93,1.96,1.96,0,101.1,0,3.93,21.59,283.66,1.96,3.93,3.93,0,0.98,4.91,0,0,1.96,0,0,19.63,0,0,6.87,0,1.96
 72-82,0,0,0,0,19.63,1.96,0,234.62,0,2.94,66.75,8.83,0,1.96,5.89,2.94,0,1.96,3.93,0,127.62,0,12.76,29.45,279.77,0.98,4.91,2.94,0,0,9.82,0,0,0.98,0,0,4.91,0.98,0.98,7.85,0.98,1.96
 84-94,0,0,0,0,32.92,8.5,1.06,232.59,0,1.06,39.3,12.74,0,0,13.81,4.25,1.06,0,6.37,0,104.08,0,6.37,36.11,216.66,5.31,6.37,9.56,0,2.12,9.56,0,0,3.19,0,0,6.37,2.12,0,15.93,0,0
 96-106,0,0,0,0,32.79,4.37,1.09,149.72,1.09,2.19,45.9,4.37,0,5.46,6.56,2.19,0,4.37,4.37,0,72.13,1.09,3.28,14.21,153,1.09,3.28,6.56,0,1.09,9.84,0,0,2.19,0,0,4.37,1.09,1.09,14.21,1.09,0
108-118,0,0,0,1.53,29.11,13.02,0,150.13,0.77,4.6,47.49,7.66,0,1.53,11.49,2.3,5.36,0.77,3.83,0.77,64.34,0.77,3.06,13.79,235.15,0,6.89,6.89,0,3.06,8.43,0,0,0,0,0,1.53,0.77,0.77,14.55,0,0
120,0,0,0,0,11.76,17.64,0,129.35,1.96,1.96,56.83,3.92,0,0,5.88,0,3.92,1.96,3.92,0,54.87,0,1.96,17.64,156.78,1.96,1.96,1.96,0,0,5.88,0,0,0,0,0,0,0,0,5.88,1.96,0
