stage,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,immune,ionocyte,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0
 24-34,0.82,0,1.64,0,0,0,0,0,0,0.82,0,0,0,4.93,0,0,0,0,0,2.46,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,5.64,0,0,0.81,0,0,0,0,0,0,0
 48-58,0.57,0,4.02,0,0,0,0,0,0,1.15,0,0,0,8.61,0,0.57,0,0,0,0.57,0,0,0,0
 60-70,0.98,0,2.94,0,0,0.98,0,0,0,2.94,0,0,0,6.87,0,0,0.98,0,0,0.98,0,0,0,0.98
 72-82,0.98,0,2.94,0,0,0.98,0,0.98,0,2.94,0,0.98,0,4.91,0,0,0.98,0,0,0,0,0,0,0
 84-94,2.12,1.06,3.19,0,1.06,2.12,0,0,0,1.06,1.06,0,0,1.06,0,0,1.06,0,0,1.06,0,0,1.06,0
 96-106,0,0,3.28,0,0,0,2.19,0,0,1.09,0,0,0,1.09,1.09,0,1.09,1.09,0,0,0,0,0,0
108-118,0,0,3.06,0,0,0,0,0,0,0.77,0,0,0,2.3,0,0.77,0.77,0,0,0,0,0.77,0,0
120,1.96,0,0,1.96,0,0,0,0,0,3.92,0,1.96,0,7.84,0,0,3.92,0,0,0,1.96,0,0,0
