stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,34.17,0,5.26,0,2.63,0,0,0,0,0
 10-12,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,25.18,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,5,1,1,0,0,4,0,0,0,0,1,0,0,0,10,0,0,0,0,0,1,11,0,0
 24-34,0,0,0.82,0,10.67,0.82,0,1.64,0,0,0,0,0.82,0,0,0.82,32.83,0,0,0,0,0,0.82,10.67,0.82,0
 36-46,0,0,0,0,21.75,0.81,0.81,4.83,0,0.81,0,0,2.42,0.81,0,0,41.09,4.03,0,0,0,0,0,12.89,0,0
 48-58,0,0,0,0,36.15,0,0,2.87,0,0,0,0,4.02,0,0,1.15,40.17,0.57,0,0.57,0,0.57,0,11.48,0,0
 60-70,0,0,0.98,0,53,0,0.98,0,0,0,0,0,2.94,0,0,0.98,35.33,3.93,0,0.98,0,0,0,2.94,0,0
 72-82,0,0.98,0,0,71.66,0.98,0,3.93,0,0,0,0,5.89,0,0.98,0.98,34.36,2.94,0,1.96,0,0,0,0.98,0,0
 84-94,0,0,0,0,58.41,0,0,5.31,0,0,0,0,3.19,0,0,0,21.24,0,0,1.06,0,0,0,0,1.06,0
 96-106,0,0,0,1.09,45.9,0,0,4.37,0,0,0,0,6.56,0,0,0,10.93,0,0,1.09,0,0,0,1.09,0,0
108-118,0,0,1.53,0,42.89,0,0,4.6,1.53,0,0.77,1.53,2.3,0,0.77,0.77,27.57,0.77,0,0,0,0,0,0,0.77,0.77
120,0,0,1.96,0,52.91,0,0,5.88,0,0,0,0,5.88,0,0,1.96,21.56,0,0,1.96,0,0,0,1.96,0,0
