stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.56,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.11,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,5.26,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.73,3.15,0,0,31.47,6.29,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,5,4,89,9,14,0,2,0,169,1,0,0,0,1,0,3,0,0,8,0,0,2,99,8,27,145,24,42,1,6,127,0,5,512,0,0,1,0,0
 24-34,0,0,0.82,3.28,37.76,0.82,29.55,0,4.93,2.46,188.8,1.64,0,0.82,0,2.46,0,22.16,0.82,0.82,2.46,0.82,0,3.28,146.11,2.46,114.92,32.83,0,73.06,0,0,92.76,0.82,9.85,408.79,0,0,3.28,0,0
 36-46,0,0,0,0,9.67,0.81,6.45,0,0,0.81,108.77,0,0,0.81,0,0.81,0,10.47,0,0,4.03,1.61,0,0,148.24,1.61,103.13,8.06,0,37.87,0,0,45.92,0.81,0.81,203.03,0,0,0.81,0,0
 48-58,0,0,0,0,10.9,0,9.75,0,2.3,0.57,91.23,0.57,0.57,0,0,1.72,0,16.64,0.57,0,5.74,0,0,0.57,83.78,1.15,76.89,7.46,0,22.95,0,0,25.82,0,0,168.12,0,0,0,0,0
 60-70,0,0,0,0.98,4.91,0,0.98,0,1.96,2.94,54.97,0.98,0,0,0.98,1.96,0.98,12.76,0,0,1.96,0,0,0,63.8,0,71.65,10.8,0,38.28,0,0,25.52,0.98,0,86.37,1.96,0,0,0,0
 72-82,0,0,6.87,0,20.61,0,14.72,0.98,0.98,0.98,84.42,7.85,0.98,0,0.98,6.87,0.98,40.25,0,0,12.76,1.96,0,1.96,56.94,3.93,130.56,41.23,0,30.43,0,0,26.5,0,0,64.79,23.56,0,0,1.96,0
 84-94,0,0,3.19,2.12,22.3,0,12.74,0,1.06,0,75.4,6.37,1.06,0,1.06,9.56,0,48.85,0,0,11.68,2.12,0,1.06,43.54,1.06,164.62,41.42,0,76.47,0,0,47.79,1.06,0,62.66,74.34,0,0,0,0
 96-106,0,0,9.84,6.56,42.62,3.28,15.3,0,3.28,1.09,43.71,13.11,0,0,2.19,13.11,0,52.46,1.09,0,24.04,0,0,3.28,39.34,5.46,252.45,41.53,0,25.14,0,0,50.27,1.09,0,43.71,126.77,0,0,4.37,0
108-118,0,0,3.06,5.36,33.7,0,5.36,0,1.53,0,26.81,15.32,0,0,3.83,15.32,0,41.36,2.3,0,16.09,6.13,0.77,0,36,3.83,157.79,36,0,38.3,0,0,35.23,0,0,29.87,131.75,0,0,5.36,0.77
120,0,0,0,1.96,31.36,0,1.96,0,0,0,15.68,13.72,0,0,5.88,9.8,0,33.32,0,0,19.6,1.96,0,0,37.24,3.92,97.99,17.64,0,37.24,0,0,19.6,0,0,13.72,43.12,1.96,0,3.92,0
