stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,30.65,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,7.89,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,86.75,7.89,0,0,26.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,22.03,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.47,22.03,0,0,47.2,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,2,12,3,1,1,0,0,3,6,1,1,14,0,0,0,0
 24-34,0,0,0,0,0,0.82,0.82,0,0,0,0.82,0,0,0.82,0.82,0,0,0,0,0,5.75,0,0,4.93,41.04,0,0,1.64,0,0,1.64,0,0,1.64,13.95,0,0.82,0,0
 36-46,0,0,0,0,0,0,4.83,0,0,0,0.81,0,0,0,0,0,0,0,0,0,6.45,0.81,0,0.81,71.7,0,0,0,0,0.81,0,0,0,0,17.72,0,0,0,0
 48-58,0,0,0,0,0.57,0,10.33,0,0.57,0,3.44,0,0,0,0,0.57,0,0,0,0.57,7.46,0,0.57,0,54.51,0,0.57,0.57,0,0,0,0,0,0,11.48,0,0,0,0
 60-70,0,0,0,0,1.96,0.98,22.58,0,0,0.98,3.93,0,0,0.98,0,0,0.98,0,0,0,8.83,0,0,0.98,67.73,0,0.98,1.96,0,0,0.98,0,0,0,8.83,0,0,0.98,0
 72-82,0,0,0,0,1.96,0.98,33.38,0.98,0,0.98,7.85,1.96,0,0,0.98,0.98,1.96,0,0,0,22.58,0,0.98,0.98,60.86,0.98,0,0.98,0,0,0.98,0,0,0,2.94,0,2.94,2.94,0.98
 84-94,0,0,0,0,1.06,1.06,19.12,0,1.06,0,5.31,0,0,0,1.06,0,2.12,1.06,0,1.06,13.81,0,0,1.06,31.86,1.06,1.06,3.19,0,1.06,10.62,0,0,0,7.43,0,0,0,2.12
 96-106,0,0,0,0,1.09,1.09,9.84,0,1.09,1.09,6.56,1.09,0,0,0,0,0,2.19,0,0,12.02,0,1.09,1.09,20.76,0,2.19,1.09,0,0,12.02,0,0,0,1.09,1.09,2.19,0,0
108-118,0,0,0.77,0,0.77,0,13.02,0,0,0,6.13,1.53,0,0,0.77,0,2.3,0.77,0,0,7.66,0.77,0,1.53,29.87,0,0,1.53,0,0.77,3.83,0,0,0,0.77,0.77,3.83,0,0
120,1.96,0,0,0,1.96,0,9.8,0,0,0,3.92,0,0,0,0,0,0,1.96,1.96,0,9.8,0,0,0,48.99,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0
