stage,endoderm,epidermis,eye,fin.epithelia,glial,gut,iridophores,mesenchyme,mural.cell,muscle,neural,olfactory,periderm,spinal.cord,vasculature
 14-21,1,2,0,0,0,0,0,0,0,1,5,0,0,4,0
 24-34,0,0,0,0,0.82,0,0,0.82,0,0,12.31,0.82,0.82,2.46,0
 36-46,0,0,0.81,0,1.61,0,0,0.81,0,0,8.86,0,0.81,4.03,0
 48-58,0,0,4.59,0,2.3,0,0,1.15,0,0,14.92,0,0,2.3,0
 60-70,0,0.98,8.83,0,2.94,0,0,4.91,0,0,23.56,0,0,1.96,0
 72-82,0,0,6.87,0,4.91,0,0,5.89,0,0,21.6,0.98,0.98,0.98,0
 84-94,0,0,2.12,0,1.06,0,1.06,3.19,1.06,1.06,15.93,1.06,2.12,1.06,0
 96-106,0,0,3.28,1.09,2.19,1.09,0,1.09,0,0,0,0,2.19,0,0
108-118,0,0,0.77,0,0.77,0,0,1.53,0,0,7.66,0.77,3.06,0.77,0.77
120,0,0,3.92,0,0,0,0,1.96,0,0,1.96,0,0,1.96,3.92
