stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,31.47,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,20,4,0,0,0,0,0,0,1,1,0,1,0,0,0,0,7,0,0,11,11,0,0,0,0,0,0,1,22,3,50,439,11,0,0,4,0,0
 24-34,0,0.82,0,100.97,0.82,0,3.28,18.88,11.49,1.64,1.64,1.64,0.82,0,0,0,0,0,0,11.49,0.82,0,22.16,36.12,0.82,0.82,1.64,0,0,3.28,0,0.82,5.75,22.16,164.17,11.49,0,0,48.43,0,0.82
 36-46,0,0,0,54.79,0,0,2.42,14.5,14.5,0.81,0,0,3.22,0,2.42,0,0,0,0,12.89,0.81,0,12.09,26.59,0,0,0,0,0,0.81,0,0,2.42,18.53,4.03,9.67,0,0,31.42,0,1.61
 48-58,0,0,0,38.44,0,0,7.46,18.36,10.9,3.44,0.57,0,0.57,0,1.15,0,0,0,1.72,12.05,0,0,11.48,25.82,0.57,0,0.57,0,0,0.57,0,0,1.72,21.8,0.57,7.46,0,0,21.8,0,0
 60-70,0,0,0,31.41,0.98,0,11.78,13.74,13.74,9.82,0.98,0,0,0,1.96,0,0.98,0,0.98,17.67,0,0.98,10.8,16.69,0,0.98,0.98,0.98,0,0,0,0,0,20.61,0,0,0,1.96,17.67,0.98,0
 72-82,0,0,0,67.73,0,1.96,7.85,5.89,20.61,15.71,3.93,1.96,0.98,0.98,0.98,1.96,0.98,0,0,73.62,0,1.96,16.69,21.6,1.96,0,0,0,0.98,0,0,0,0,20.61,0,3.93,0,0.98,40.25,3.93,0
 84-94,0,0,0,113.64,1.06,5.31,4.25,10.62,33.99,7.43,4.25,2.12,1.06,1.06,0,3.19,0,0,1.06,62.66,1.06,1.06,21.24,14.87,2.12,1.06,1.06,0,1.06,2.12,0,0,1.06,41.42,0,2.12,3.19,0,43.54,6.37,0
 96-106,0,0,0,165.02,6.56,10.93,8.74,22.95,36.06,9.84,3.28,3.28,2.19,1.09,0,5.46,1.09,0,1.09,55.74,3.28,1.09,21.86,24.04,1.09,3.28,0,0,0,2.19,0,0,0,20.76,0,1.09,2.19,1.09,51.36,10.93,1.09
108-118,0,0,0,269.62,0.77,43.66,3.83,31.4,59.75,15.32,6.89,5.36,0,0.77,1.53,10.72,0,0.77,0.77,65.11,0.77,0,46.72,21.45,0.77,4.6,0,0,0.77,6.13,0,0,0.77,44.43,0,1.53,6.13,1.53,43.66,6.13,0
120,0,1.96,0,248.89,1.96,23.52,3.92,37.24,50.95,13.72,0,1.96,0,5.88,0,0,0,1.96,0,66.63,0,0,64.67,23.52,1.96,0,0,0,0,5.88,0,0,0,7.84,0,0,0,3.92,13.72,7.84,0
