stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,1,0,0,16,0,0,14,0,0,0,0,0
 24-34,0,2.46,0,1.64,0,0,52.53,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0.82,62.39,0,10.67,3.28,0,0,0.82,63.21,0,0,26.27,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,36.26,0.81,0,0,1.61,0,0,0,0,0,0,0,1.61,0,0,0.81,66.06,0,11.28,0.81,0,0,0,41.09,0,1.61,36.26,0,0,0.81,0,0
 48-58,0,0.57,0,0.57,0.57,0,47.05,0,0,0,0.57,0,0,0,0,0.57,0.57,0,0,0,0,0.57,72.87,0,10.33,1.15,0,0,0,28.12,0,0,19.51,0,0,0,0,0.57
 60-70,0,0.98,0,0,0,0,249.31,0,0,0,16.69,0,0,0,0,0,0,0,0.98,0,0,0,148.21,0,8.83,2.94,0,0,0,41.22,0.98,0,24.54,0,0,0,0,0
 72-82,0,0.98,0,5.89,3.93,0,656.73,0,0,0.98,50.06,4.91,0,1.96,0,0.98,0.98,0.98,7.85,0,0,0,224.8,0,11.78,10.8,0,0,0.98,79.51,0,0,19.63,0.98,0,1.96,0,0.98
 84-94,0,1.06,0,4.25,0,0,574.56,0,0,1.06,30.8,2.12,0,0,1.06,1.06,2.12,1.06,2.12,1.06,0,2.12,118.95,1.06,14.87,25.49,0,0,1.06,157.18,0,0,16.99,0,0,0,0,0
 96-106,0,0,0,5.46,3.28,0,531.12,0,2.19,1.09,56.83,12.02,0,0,1.09,3.28,1.09,0,12.02,0,1.09,0,140.98,0,27.32,34.97,0,0,5.46,159.56,0,0,13.11,1.09,0,1.09,0,2.19
108-118,0,1.53,0,6.89,2.3,0.77,348.51,0,0,0,49.79,12.26,0.77,0,0.77,6.89,0,0,7.66,0,1.53,0,195.32,0,10.72,23.74,0,0.77,3.06,147.06,0,0,3.83,2.3,0.77,0,0,0
120,0,1.96,1.96,3.92,1.96,0,239.09,1.96,0,0,39.2,15.68,0,0,0,1.96,0,0,7.84,0,1.96,0,168.54,0,9.8,17.64,0,0,3.92,97.99,0,0,3.92,1.96,1.96,0,1.96,0
