stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,mesenchyme,muscle,neural,olfactory,otic,spinal.cord
 14-21,0,0,0,0,0,0,0,0,3,0,0,0
 24-34,0,0,0,0,0,0,0,0,10.67,0,0,3.28
 36-46,0,0.81,0,0.81,0,0,0,0,50.76,0.81,0,8.06
 48-58,0,4.02,0.57,0,0.57,0,0,0,60.25,1.15,0,8.61
 60-70,0,27.48,0,0,0.98,0,0,0,84.41,0,0,11.78
 72-82,0,28.47,0,0,1.96,0,2.94,0,42.21,0,0,5.89
 84-94,1.06,12.74,0,0,1.06,0,0,0,33.99,0,1.06,5.31
 96-106,0,8.74,0,0,0,1.09,1.09,1.09,19.67,0,0,3.28
108-118,0,6.13,0,0,0,0,0,0,19.92,0,0,0
120,0,3.92,0,0,0,0,0,0,17.64,0,0,0
