stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,immune,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,otic,periderm,pronephros,spinal.cord,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0
 24-34,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,1.64,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0.57,0,1.15,0,0,0,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0.98,0,4.91,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0.98,0.98,0,0.98,0,1.96,0,0,1.96,0,25.52,0,0.98,0,0,7.85,0,0.98,0,0,0,0
 84-94,2.12,0,0,0,0,0,0,0,0,0,106.2,0,0,0,0,3.19,1.06,0,0,0,0,0
 96-106,5.46,1.09,1.09,0,0,1.09,0,1.09,1.09,2.19,299.44,1.09,4.37,0,1.09,20.76,0,3.28,1.09,1.09,1.09,0
108-118,0.77,1.53,0.77,0,0.77,3.06,0,1.53,3.83,0,483.32,0,2.3,0.77,0.77,20.68,0,1.53,0,0,0.77,0.77
120,1.96,0,0,0,0,3.92,1.96,1.96,0,0,335.12,0,3.92,0,0,9.8,0,1.96,0,1.96,0,0
