stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,ionocyte,mesenchyme,muscle,neural,olfactory,periderm,pgc,pronephros,somites,spinal_cord
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,2,3,0,0,0,0,0,1,0,2,0,0,0,1,1,1
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,1.64,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,1.61,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.96,0,0.98,0,0,0,0,7.85,0,0.98,0,0,0,0
 84-94,0,0,0,0,1.06,0,1.06,1.06,0,0,0,0,0,1.06,1.06,0,0,0,0,0
 96-106,0,0,0,0,2.19,0,1.09,0,1.09,1.09,1.09,0,0,1.09,2.19,1.09,1.09,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0,0,0,2.3,0.77,0,1.53,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,3.92,0,0,0,0,0,0
