stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,26.36,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,576.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,12.26,12.26,0,0,0,0,0,0,0
  7-9,10.51,18.4,0,7.89,0,0,94.63,0,0,0,0,0,18.4,0,0,0,0,0,0,0,462.65,13.14,0,218.18,2.63,0,0,0,0,0,0,0
 10-12,0,22.03,0,34.62,0,0,44.06,0,0,0,0,0,6.29,0,0,0,0,0,0,0,286.37,0,0,169.94,0,0,0,9.44,0,0,0,0
 14-21,0,0,0,0,4,1,6,0,0,0,0,0,0,0,0,0,1,4,0,0,43,1,0,2,0,1,2,0,10,15,0,0
 24-34,0,0,0,0.82,2.46,0,6.57,0,0,0,0.82,0,0,0,0,0,0,4.93,0,0.82,69.77,0.82,0,0,0,0,0,0,0,8.21,0,0.82
 36-46,0,0,0,0.81,1.61,0,7.25,0,0.81,0.81,2.42,0.81,0,0,0,0,0,6.45,0,2.42,41.09,0,0,0,0,0,0,0,0,6.45,0,0
 48-58,0,0,0,0,0.57,0,13.2,0,0,0,5.74,0,0,0,0,0,0,6.89,0.57,0.57,27.54,0,0.57,0,0,0,0,0,0,3.44,0.57,0
 60-70,0,0,0,0,0,0,9.82,0.98,0,0,3.93,0,0,0,0,0,0,1.96,0,3.93,14.72,0,0,0,1.96,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0.98,0,6.87,0,0,0,4.91,0,0,0,0.98,0.98,0,3.93,0,0.98,28.47,0,0,0,1.96,0,0,0.98,0,1.96,0.98,0
 84-94,0,0,0,0,2.12,0,7.43,0,1.06,0,0,0,0,1.06,0,0,0,1.06,0,2.12,7.43,0,0,0,2.12,0,0,0,0,3.19,0,0
 96-106,0,0,0,0,2.19,0,1.09,0,0,0,3.28,1.09,0,0,0,1.09,0,3.28,0,0,14.21,0,0,0,2.19,0,0,1.09,0,0,1.09,0
108-118,0,0,0.77,0,3.06,0,3.83,0,0,0,3.06,0.77,0,0,0.77,0.77,0,3.06,0,3.06,15.32,0,0,0,0,0,0,0,0,0.77,0.77,0.77
120,0,0,0,0,3.92,3.92,5.88,0,0,0,0,1.96,0,1.96,0,0,0,5.88,0,3.92,17.64,0,0,0,0,0,0,1.96,0,0,0,0
