stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,79.07,1054.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,6.13,239.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,2.63,0,0,0,34.17,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,81.49,0,0,0,18.4,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,6.29,0,0,0,31.47,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,113.29,3.15,0,0,94.41,0,3.15,0,3.15,0,3.15,0,0,0
 14-21,0,0,0,2,10,0,9,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4,8,7,0,0,1,1,0,10,0,1,62,4,0,1
 24-34,0,0,0,0.82,1.64,0,9.85,0,0,0.82,0,0,0,0,0,0,0,0,0,4.93,0,2.46,9.85,0.82,0,0,0,0.82,0,0,0,0,13.13,1.64,1.64,0
 36-46,0,0,0,0,0,0,3.22,3.22,0,0,0,0,0,0,0,0,0,0,0,3.22,0,3.22,5.64,0,0,0,0,0.81,0,0,0,0,0.81,3.22,0,0
 48-58,0,0,0,0,0,0,2.3,0.57,0.57,0,1.72,0,0,0,0,0,0,0,0.57,4.02,0,3.44,8.03,0,0,0,0,0,0,0,0,0.57,0,1.72,0,0
 60-70,0,0,0,0,0,0,6.87,1.96,0,0,0,0,0,0,0,0,0.98,0,0.98,3.93,0,0.98,7.85,0,0,0,0,0,0,0,0,0.98,0,0.98,0,0
 72-82,0,0,0,0.98,0,0,6.87,0,0.98,1.96,0.98,3.93,0,0,0,0.98,0,0,0,7.85,0.98,1.96,22.58,0,0,0.98,0,0,0,0,0,0,0,0,1.96,0
 84-94,0,0,0,0,4.25,1.06,7.43,0,0,0,0,0,0,0,0,1.06,1.06,0,0,4.25,0,1.06,5.31,0,0,0,0,2.12,0,0,1.06,1.06,0,0,1.06,0
 96-106,0,0,0,0,0,2.19,4.37,1.09,0,0,1.09,0,0,0,0,0,0,1.09,0,2.19,0,0,5.46,0,0,0,0,5.46,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,2.3,11.49,6.89,0.77,0.77,0,1.53,0,0,0,0,1.53,0,0,3.06,2.3,0.77,1.53,6.13,0,0.77,0,0,0.77,0,0,0.77,0,0,0,2.3,0
120,0,0,0,0,1.96,3.92,5.88,3.92,0,0,1.96,0,0,0,3.92,1.96,0,0,1.96,3.92,0,0,5.88,0,0,0,0,1.96,0,0,0,0,0,0,0,0
