stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,hatching_gland,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,6.13,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,2.63,0,0,5.26,0,0,0,0,55.2,2.63,7.89,0,0,0,0,0,0
 10-12,3.15,3.15,0,6.29,0,0,0,0,0,0,0,22.03,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,2.46,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0.57,0.57,0,0,0,0,0,0,1.72,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,8.83,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,2.94,0,0.98,0,0,0,0,0,4.91,0,0,0,0,1.96,0,0,0
 84-94,0,0,0,3.19,0,0,0,0,0,0,0,2.12,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,1.09,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,1.96,0,0,0,0,0,0,1.96,0,3.92,0,0,1.96,0,0,0,0,0
