stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,5.26,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,65.72,2.63,0,0,26.29,0,0,0,0,0,0
 10-12,0,12.59,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,53.5,6.29,0,0,15.73,0,0,0,0,0,0
 14-21,0,0,0,4,1,4,0,0,0,0,0,0,0,1,5,0,3,31,0,0,0,0,1,9,2,6,0,0
 24-34,0,0,0,0,0,4.93,0,0.82,0.82,0,0,0,0,0,4.93,0.82,1.64,29.55,0,0.82,1.64,0,0.82,0,0.82,9.03,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,2.42,0,0.81,10.47,0,0,0,0,2.42,0,0,0,0,0
 48-58,0,0,0,0,0,1.15,0,0,1.15,0,0.57,0,0,0,3.44,0,0.57,4.59,0,0,0,0,1.15,0,0,0,0,0
 60-70,0,0,0,1.96,0,0.98,0.98,0,3.93,0,0,0,1.96,0,0.98,0,0.98,1.96,0,0,0,0,2.94,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,1.96,0,0,0.98,0.98,0,2.94,0,0,4.91,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,0,0,3.19,0,1.06,0,0,3.19,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,0,2.19,0,6.56,0,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0.77,0,0.77,0.77,0,0.77,3.83,0,3.83,0,0,3.83,0,0,0,0,3.06,0,0,0,0,1.53
120,0,0,0,3.92,0,1.96,7.84,0,1.96,0,0,0,3.92,0,0,0,3.92,5.88,1.96,0,0,0,3.92,0,0,0,1.96,0
