stage,epidermis,exocrine.pancreas,eye,glial,ionocyte,liver,mesenchyme,neural,otic,pronephros,visceral.smooth.muscle
 14-21,3,0,0,0,0,0,0,0,0,0,0
 24-34,2.46,0,0,0,0,0.82,0,0,0,0,0
 36-46,2.42,0,0,0,0,0,0,0.81,0,0,0
 48-58,0.57,0,0.57,0,0,0,0,0,0.57,0,0
 60-70,0.98,0,0.98,0,0,0,0,0,2.94,0,0
 72-82,0,0,1.96,0,0,0,1.96,2.94,0.98,0,0
 84-94,3.19,0,0,1.06,0,0,0,2.12,1.06,0,1.06
 96-106,0,0,1.09,1.09,0,0,1.09,3.28,3.28,0,0
108-118,0,0.77,1.53,0,0.77,2.3,0,0.77,1.53,0.77,0
120,3.92,0,0,0,0,0,0,0,3.92,0,0
