stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,0.81,1.61,0,0,1.61,0,0.81,0,0,0
 48-58,0,0,1.15,0,0,0,0,1.15,0,0.57,0,0,0.57,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,1.96,0,0.98,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,1.06,0,0,7.43,0,0,0,0,0
 96-106,0,1.09,2.19,1.09,0,1.09,0,0,0,2.19,0,0,6.56,1.09,0,0,1.09,0
108-118,0,0.77,0,0,0,0.77,0.77,0.77,0.77,2.3,0,0,5.36,0,0,0.77,0,0.77
120,0,0,0,3.92,0,1.96,0,0,0,1.96,0,0,17.64,0,0,0,0,0
