stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,9.44,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,7,0,0,1,0,3,2,0,2,8,0,0,0,0,0
 24-34,0,0,0,13.13,0,0,2.46,0,1.64,0,0,0,0,0,0.82,8.21,0,0,0,2.46,0,0,0,7.39,41.04,0.82,0,0,0,64.03,7.39,0,1.64,18.88,0,0,4.1,0,0
 36-46,0,0,0,17.72,0,0,3.22,0,2.42,0,0,0,0.81,0,0,3.22,0.81,0,0,3.22,0.81,0,1.61,7.25,61.23,0.81,0,0,0,124.07,0.81,0,0,16.92,0,0,2.42,0,0
 48-58,0.57,0,0,12.05,0.57,0,5.16,0,6.89,1.15,1.15,0,0,0,0.57,1.15,0,0,0,13.2,1.72,0,1.15,13.77,40.17,0,0,0,0,129.11,2.3,0,0,29.84,0,0,4.59,0,0.57
 60-70,0,0,0,29.45,0,0,9.82,0,21.59,0,2.94,0,0,0,0.98,1.96,0,0,0,15.7,0.98,0.98,3.93,12.76,37.3,0.98,0,0,0,282.68,4.91,0,0,19.63,0,1.96,0.98,0,0
 72-82,0,0,0,30.43,1.96,0,3.93,0.98,5.89,0.98,2.94,2.94,0,0.98,0,5.89,0,0,0,55.95,1.96,3.93,5.89,25.52,28.47,1.96,0,0,0.98,372.05,2.94,0,0,15.71,0.98,0.98,0.98,0,0
 84-94,0,0,0,76.47,0,1.06,14.87,0,37.17,0,1.06,15.93,0,0,4.25,14.87,0,1.06,0,35.05,5.31,3.19,1.06,15.93,53.1,1.06,1.06,0,0,959.02,11.68,0,0,15.93,1.06,1.06,5.31,1.06,3.19
 96-106,0,0,0,98.36,7.65,1.09,21.86,0,25.14,1.09,3.28,12.02,0,1.09,8.74,20.76,0,1.09,1.09,45.9,4.37,7.65,2.19,22.95,34.97,1.09,1.09,0,5.46,790.13,3.28,1.09,0,4.37,5.46,3.28,6.56,3.28,2.19
108-118,0,0,0.77,121.02,2.3,3.06,36.77,0,39.83,0,4.6,25.28,0,0.77,0.77,19.92,1.53,0,0,58.98,6.13,4.6,1.53,16.85,57.45,0.77,0.77,0,0.77,882.39,7.66,0,0,3.06,6.13,0.77,3.83,2.3,5.36
120,0,0,0,127.39,1.96,1.96,3.92,0,60.75,1.96,5.88,39.2,0,1.96,7.84,15.68,0,0,0,58.79,3.92,9.8,1.96,39.2,74.47,1.96,0,0,0,607.53,13.72,0,0,7.84,3.92,0,1.96,0,0
