stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,7.89,0,0,0,0,10.51,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,97.26,0,0,0,52.57,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,6.29,18.88,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,91.26,6.29,0,0,47.2,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,7,1,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,3,39,0,0,3,1,0,0,0,11,1,0,4,25,0,0,0,0,1
 24-34,0,0,1.64,0,3.28,0,6.57,0,0,0.82,3.28,0,0,0,0,0,0,0,0,13.13,0,0,7.39,105.89,0,1.64,0.82,0,0,4.1,0,0,0,0,1.64,32.83,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,35.45,0,0,0,6.45,0,0,0.81,0,0,0,0,0,16.11,0,0,1.61,193.36,1.61,1.61,0.81,0,0,6.45,0,0,0,0,0,49.15,0,0,1.61,0,4.83
 48-58,0,0,0,0.57,2.3,0,32.71,0.57,0.57,0.57,4.02,0,0,0.57,0,0,0,0,0,13.2,0,0,2.3,142.3,0.57,0.57,0.57,0,0.57,4.02,0,0,0,0,0,28.69,0,0,0,0,1.72
 60-70,0,0,0.98,0,0.98,0,86.37,0,0.98,0.98,13.74,0,0,0,0.98,0,0,0,0.98,13.74,0,1.96,1.96,225.75,0,0,0.98,0,0.98,2.94,0,0,0,0,0,47.11,0,1.96,1.96,0,2.94
 72-82,0,0,0.98,0,3.93,0.98,70.68,0,0,0.98,12.76,0.98,0,0.98,0,1.96,0,0,0,18.65,0,0,1.96,116.82,0,0.98,2.94,0,0,2.94,0,0,0.98,0,0,15.71,0,0,0,0,0.98
 84-94,0,0,2.12,0,5.31,0,56.29,2.12,0,1.06,3.19,2.12,0,2.12,0,0,1.06,0,0,18.05,0,1.06,0,63.72,0,2.12,0,0,0,6.37,0,0,0,1.06,0,5.31,1.06,1.06,1.06,0,1.06
 96-106,0,0,1.09,0,4.37,1.09,38.25,1.09,0,0,3.28,2.19,0,2.19,2.19,1.09,0,1.09,0,14.21,0,2.19,2.19,41.53,0,1.09,3.28,0,0,9.84,0,0,0,0,0,1.09,0,1.09,1.09,4.37,4.37
108-118,0,0,0.77,0,3.06,1.53,33.7,0,0,0,3.06,1.53,0,1.53,1.53,0.77,0,0,1.53,9.19,0.77,0.77,1.53,46.72,0,3.06,0.77,0,0.77,6.89,0,0,0,0,0,3.06,0,0.77,3.06,1.53,3.83
120,0,0,1.96,0,1.96,1.96,17.64,0,0,0,3.92,0,0,3.92,0,0,1.96,0,0,9.8,0,0,0,62.71,0,1.96,0,0,0,9.8,0,0,0,0,0,0,0,0,0,1.96,0
