stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,10,7,0,5,0,0,0,2,0,0,0,1,0,0,0,2,7,0,0,3,65,1,0,3,1,0,5,2,0,1,8,27,0,0,1,0,0
 24-34,0,9.85,0.82,0,14.78,0,0,0,2.46,0,0.82,0.82,3.28,0,0,0,0,13.95,0.82,0,6.57,116.56,0.82,3.28,0.82,0,0,22.16,0,0,0,2.46,33.66,0,0,4.1,0,0.82
 36-46,0,1.61,0.81,0,8.86,0,0.81,1.61,5.64,0,3.22,0,0,0,0,0,0,8.86,0,0,1.61,63.65,0,0,0,0,0,16.11,0,0,0.81,0,19.34,0,0,4.03,0,0
 48-58,0,1.72,0,0,13.2,1.72,0,0.57,9.18,1.15,0.57,0,0,0,0,0,0,10.33,0,1.15,2.3,65.41,0.57,0.57,0.57,0,0,12.62,0,0,1.15,0,11.48,0,0,1.72,0,1.72
 60-70,0,1.96,0,0,35.33,0,2.94,0,13.74,0,0.98,0.98,0,0,0.98,0,0,21.59,0,2.94,0.98,86.37,0,0,0,0,0,22.58,0,0.98,0,0,12.76,0,0,0,0,0
 72-82,0,1.96,4.91,0,29.45,0,0,0,17.67,1.96,0,1.96,0,0,1.96,0.98,0,39.27,0,1.96,2.94,106.02,0,0.98,2.94,0,0.98,20.61,0,0,0,0,10.8,0,0.98,2.94,0.98,0
 84-94,0,2.12,6.37,0,15.93,0,0,2.12,12.74,1.06,0,1.06,2.12,3.19,0,0,2.12,22.3,2.12,0,1.06,31.86,0,2.12,2.12,0,0,52.04,0,1.06,1.06,0,4.25,0,1.06,1.06,1.06,0
 96-106,0,8.74,2.19,0,14.21,0,1.09,1.09,9.84,3.28,0,4.37,2.19,0,1.09,1.09,0,15.3,0,3.28,0,33.88,1.09,2.19,2.19,0,1.09,64.48,0,0,0,0,0,0,0,6.56,1.09,1.09
108-118,0,5.36,0,0.77,8.43,0,3.83,0,9.19,1.53,0,3.06,3.83,3.83,0,0.77,0,17.62,0,0.77,0.77,28.34,0,1.53,0,0,0.77,32.94,0,1.53,1.53,0,2.3,0,0,0,0,2.3
120,1.96,7.84,0,0,7.84,1.96,5.88,1.96,3.92,0,0,0,0,0,0,0,0,7.84,1.96,1.96,0,41.16,1.96,1.96,1.96,0,0,29.4,0,0,0,0,0,1.96,1.96,0,0,0
