stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,7,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,31,0,0,1,0,0,1,0,7,28,0,0,1,0,0
 24-34,0,0,0,0,1.64,0.82,0,2.46,0,0,0,1.64,0,0,0,0,0,0,0,0,4.1,0,3.28,155.96,1.64,0,0,0,0,0,0,0,112.46,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,2.42,0,0,0,4.03,0,0,0,0,0,0,0,0,6.45,0,6.45,456.01,0.81,0,0,0,0,0,0,0,145.83,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,52.79,0,0,0,20.66,1.15,0,0.57,0,0,0,0,0,9.18,0,3.44,905.46,1.15,0,0,0,0.57,0,0,0,154.35,0,0,0,0,0
 60-70,0,0,0,0,5.89,0,0,254.21,0.98,0,0,62.82,0,0,0,0,0.98,0.98,0,0,14.72,0,3.93,1553.75,3.93,0,0,0,0,0,0,0,177.66,0,0,0,0,0.98
 72-82,0,0,1.96,0,12.76,0.98,0,538.93,0,0,2.94,98.17,1.96,0.98,0,0,1.96,0,0,0,22.58,0.98,1.96,1708.09,0,0.98,0,0,1.96,0,0,0,120.74,0,2.94,1.96,1.96,0.98
 84-94,0,0,0,0,15.93,0,0,351.53,1.06,1.06,1.06,77.53,1.06,0,0,0,1.06,0,0,0,33.99,3.19,2.12,913.35,2.12,3.19,0,3.19,1.06,0,0,0,62.66,2.12,1.06,1.06,2.12,0
 96-106,0,0,0,0,13.11,2.19,0,308.18,1.09,0,1.09,54.64,0,0,1.09,1.09,0,1.09,1.09,1.09,20.76,2.19,0,763.9,1.09,4.37,0,2.19,0,0,0,0,32.79,1.09,2.19,1.09,0,1.09
108-118,0,0,0.77,0,11.49,0.77,0,231.32,0.77,0.77,0,54.38,5.36,1.53,0,0,0,0,0.77,0.77,15.32,0.77,3.06,844.86,0.77,3.06,0,2.3,0,0,0,0,19.92,0,0,0,0.77,0
120,1.96,0,1.96,0,5.88,3.92,1.96,170.5,1.96,0,0,31.36,0,0,1.96,0,0,0,0,1.96,17.64,1.96,0,795.67,0,0,0,0,3.92,0,0,0,31.36,0,1.96,1.96,1.96,0
