stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,540.3,7221.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368.98,0,0,0,0,0,0
  5-6,386.17,5302.13,6.13,0,0,0,0,0,0,6.13,0,0,171.63,12.26,0,12.26,116.46,0,0,0,0,0,0
  7-9,65.72,52.57,128.81,0,0,165.61,0,0,0,47.32,0,0,1571.97,52.57,0,633.52,2.63,21.03,0,0,0,0,0
 10-12,0,12.59,37.76,0,0,69.23,0,0,0,6.29,0,0,575.9,34.62,0,223.43,3.15,6.29,0,15.73,0,0,0
 14-21,0,0,0,20,4,3,0,1,1,1,8,5,77,5,1,2,2,1,15,4,16,16,0
 24-34,0,0,0,0.82,0,1.64,0.82,0,0,0,1.64,1.64,4.93,0,0,0,4.93,0,0,0,0,0,1.64
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,3.22,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0.57,0,0,0,0,0.57,0.57
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0,0,1.96,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
