stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,44.06,3.15,0,0,3.15,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,10,0,1,0,0,70,0,0,36,34,14,0,0,0,0
 24-34,0,3.28,2.46,9.03,0,0,15.6,39.4,2.46,0.82,0,2.46,0,0.82,0,19.7,0,4.1,0,0,5.75,6.57,0,13.95,90.29,0.82,9.85,1.64,0,305.36,0,0.82,23.8,45.15,28.73,0,0,0,0
 36-46,0,0.81,0.81,3.22,0.81,0,45.12,29.81,4.03,0,0.81,0.81,0,0,0,15.31,0,2.42,0,0,11.28,5.64,0,8.06,84.6,0,6.45,2.42,0,298.1,0.81,0.81,10.47,3.22,13.7,0,0.81,0,0
 48-58,0,1.15,0.57,5.74,0,0,71.73,19.51,6.31,1.15,6.31,1.72,0,0,0,9.18,0,2.87,0.57,0,14.35,7.46,0,5.74,80.33,0,4.59,4.02,0,265.1,0,0,5.74,0,5.74,0,0.57,0,1.15
 60-70,0,1.96,0,21.59,0,0,169.8,22.58,7.85,0,5.89,1.96,0,0.98,0,8.83,0,3.93,0.98,0,6.87,7.85,0,5.89,68.71,0,6.87,1.96,0,302.31,0,0.98,4.91,0,5.89,2.94,0,0,0
 72-82,0,4.91,0.98,58.9,1.96,0,283.7,12.76,12.76,0.98,29.45,8.83,0.98,0,0.98,23.56,0,16.69,0.98,0,12.76,8.83,0.98,3.93,73.62,0,5.89,11.78,0,335.73,0.98,0,4.91,0,5.89,9.82,0,0,0.98
 84-94,0,3.19,0,98.77,2.12,1.06,218.78,18.05,39.3,0,33.99,32.92,0,0,1.06,39.3,0,13.81,2.12,1.06,7.43,13.81,0,2.12,63.72,1.06,5.31,23.36,0,791.22,0,2.12,13.81,0,1.06,38.23,1.06,1.06,0
 96-106,0,7.65,0,136.61,1.09,0,183.6,25.14,27.32,0,17.49,27.32,0,1.09,1.09,46.99,2.19,16.39,0,0,20.76,12.02,1.09,5.46,85.24,0,17.49,21.86,0,639.32,0,2.19,7.65,0,1.09,41.53,1.09,0,1.09
108-118,0,5.36,0,119.49,0,0.77,140.17,22.21,50.55,0,18.38,32.17,0,0,5.36,49.02,0,13.02,2.3,0,12.26,14.55,1.53,7.66,82.72,0,6.89,15.32,0.77,537.71,0,0.77,6.89,0,3.06,55.92,0.77,0,0
120,0,5.88,0,135.23,0,0,168.54,25.48,60.75,0,37.24,45.08,0,0,3.92,37.24,1.96,11.76,1.96,0,1.96,13.72,0,7.84,82.31,0,11.76,11.76,0,556.58,0,0,3.92,0,3.92,21.56,0,0,0
