stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,12.59,0,0,9.44,0,0,3.15,0,0,0,0,0
 14-21,0,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,0,0,1,1,5,1,2,29,8,0,0
 24-34,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,1.64,0,1.64,6.57,0,0,0,0.82,0,0,0,0,1.64,0,0.82
 36-46,0,0.81,0,0,1.61,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0.81,4.83,0.81,0.81,0,0,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0.57,1.72,0,0,2.3,0,0.57,0,0.57,0,0,0,0,1.15,0,1.15
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0,1.96,0,0.98,0.98,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0.98,0,0.98,0,0,0,3.93,0.98,0,0.98,0,0,0,0,5.89,0,0,3.93,0.98,0.98,0,0.98,0,0.98,0,0,0.98,0,0
 84-94,0,0,0,0,2.12,0,0,1.06,1.06,1.06,0,0,0,0,0,0,3.19,1.06,1.06,3.19,0,1.06,0,1.06,0,0,0,0,1.06,0,2.12
 96-106,0,1.09,0,1.09,3.28,0,1.09,0,1.09,1.09,0,1.09,0,0,1.09,2.19,4.37,0,0,3.28,0,0,0,2.19,0,0,0,0,0,1.09,0
108-118,0,0.77,0,0,2.3,0,0,0,2.3,0,0,0,2.3,0,0,0,4.6,0,0.77,2.3,0.77,1.53,0,2.3,0,0,0,0,0.77,0,0
120,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,5.88,0,1.96,3.92,1.96,0,0,1.96,0,0,0,0,0,0,1.96
