stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
 14-21,2,2,0,1,0,0,0,2,0,0,0,0,0,2,1,12,1,0,0,0,0,3,0,2,2,5,0,1
 24-34,1.64,0,0,1.64,0,0,0,0,0,1.64,0,0,0,0,0,13.95,0,0.82,0.82,0,0,0,0,1.64,0.82,5.75,0,0
 36-46,0,0,0,1.61,0,0,0,1.61,0,0.81,0,0,0,1.61,0.81,37.06,0,0,0,0,0,0,0,6.45,0,7.25,0,0.81
 48-58,0,0,0,5.16,0.57,0.57,0.57,2.3,0,0.57,0,0,0.57,1.15,1.15,19.51,0.57,0,0,0,1.15,0,0.57,13.77,0,4.02,0,1.15
 60-70,1.96,0,0,6.87,1.96,0.98,0.98,1.96,0,1.96,0,0,0,3.93,0.98,22.58,0.98,2.94,1.96,0.98,0,0,0,6.87,0,0.98,0,0
 72-82,1.96,0,0,4.91,0.98,0,0,3.93,0,0,0,0,0.98,4.91,0,18.65,0,3.93,1.96,0,0.98,0,0,1.96,0,2.94,0,0
 84-94,2.12,0,1.06,0,1.06,0,0,2.12,0,0,0,1.06,1.06,3.19,0,7.43,0,1.06,5.31,0,1.06,0,0,8.5,0,2.12,0,2.12
 96-106,0,0,0,3.28,6.56,0,1.09,1.09,1.09,2.19,0,0,0,2.19,1.09,7.65,0,4.37,4.37,0,0,0,0,9.84,0,1.09,1.09,0
108-118,0.77,0,0,3.83,3.83,0,0.77,2.3,0.77,1.53,1.53,0.77,0.77,0.77,1.53,4.6,0.77,0.77,4.6,0,0.77,0,0,9.19,0,0.77,0,0.77
120,0,0,0,1.96,1.96,0,0,0,0,0,0,0,3.92,1.96,0,7.84,0,1.96,1.96,0,0,0,0,0,0,1.96,0,0
