stage,blastomeres,epidermis,eye,glial,hatching.gland,lateral.line,mesenchyme,neural,otic,pgc,pronephros,spinal.cord
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,2.63,0,0
 10-12,0,0,0,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,2.46,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.61,0,0,0,0.81
 48-58,0,0,0,0,0,0,0.57,0.57,0.57,0,0,0
 60-70,0,0.98,0,0,0,0,0.98,0,0.98,0,0.98,0
 72-82,0,0,0.98,0.98,0,0.98,0.98,0.98,0.98,0,0,0.98
 84-94,0,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,0,2.19,0,1.09,0,0,1.09,0
108-118,0,0.77,0,0,0,0,0,1.53,0,0,0,0
120,0,0,1.96,0,0,1.96,0,1.96,0,0,0,0
