stage,epidermis,erythrocytes,eye,fin_epithelia,glial,ionocyte,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,taste
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,1,0,0
 24-34,0,0,0,0,0.82,0.82,0,0,0.82,0,4.1,0,0
 36-46,0,0,0,0,0,0,0,0,1.61,0,1.61,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,4.91,0,0.98,0,0,0,1.96,0,0
 72-82,0.98,0,2.94,0,10.8,0,0,0,0.98,0,2.94,0,0
 84-94,0,0,0,1.06,23.36,4.25,1.06,0,0,0,8.5,0,0
 96-106,0,0,2.19,0,21.86,3.28,2.19,0,1.09,0,4.37,3.28,0
108-118,0.77,0.77,0,0.77,31.4,1.53,0,0.77,0.77,0,1.53,0.77,0.77
120,0,0,0,0,17.64,0,1.96,0,0,0,3.92,0,0
