stage,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,heart,immune,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
 14-21,3,0,2,0,0,1,1,0,0,1,0,2,0,0,0,14,0,0,0,0,4,2,4,0,0,0
 24-34,0,0,5.75,0,0.82,0,0,0,0,0,0,0,0.82,0,0.82,18.88,0.82,0,0,0,0,0,4.1,0,0,0
 36-46,0,0,4.83,0.81,0.81,0,0,0,0,0,0,1.61,0,0,0,7.25,0,0,0.81,0,0,0,2.42,0,0,0
 48-58,0,0,4.59,0,1.15,0,0,0.57,0,0,0,1.15,0.57,0,0,5.74,0,0,0,0,0,0,0.57,0,0,0
 60-70,0.98,0,1.96,0,0,0,0,0,0,0,0.98,0,0,0.98,0,3.93,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.98,1.96,0,1.96,0,0,0,0,0,0,1.96,0,0,1.96,5.89,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,4.25,0,1.06,0,0,0,1.06,0,0,0,0,0,0,4.25,0,0,0,1.06,0,0,0,0,1.06,0
 96-106,0,0,1.09,0,1.09,0,0,0,0,0,0,2.19,0,0,0,2.19,0,0,0,1.09,0,0,0,0,0,2.19
108-118,0.77,0,2.3,0,0,0,0,0,0.77,0,0,1.53,0,0,2.3,0,0,0,0,1.53,0,0,0,0.77,0,0
120,1.96,1.96,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,5.88,0,1.96,0,0,0,0,0,0,0,0
