stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,15,0,0,1,0,0,2,0,1,4,0,0,0,0,0,0
 24-34,0,0,0.82,2.46,0,0,0,0,0,0,0,0,40.22,0,0,12.31,18.88,0,0.82,0.82,0,0,0,0,0,0.82,5.75,0,0,0.82,0,0
 36-46,0,0,0,0,0,2.42,0,0,1.61,0,0,0,77.34,0,0,12.89,14.5,0,0,0.81,0,0,0,0,0,0,5.64,0,0.81,0,0,0
 48-58,0,0.57,0.57,0.57,0,2.3,2.3,0,0,0,0.57,0,132.55,0,1.15,11.48,9.18,0,0,0,0.57,0,0,0,0,0,5.16,0,0,0,0,0
 60-70,0,0,0,1.96,0,1.96,2.94,0,1.96,0,0,0,195.32,0,4.91,19.63,7.85,0,0,0,0,0,0,0,0,0,0.98,0,1.96,0.98,1.96,0.98
 72-82,0,0,0,5.89,0,0.98,8.83,0,1.96,0,0,0.98,261.12,0,4.91,15.71,1.96,0,0,0,0.98,0,0,0,0,0,2.94,0,2.94,1.96,3.93,0
 84-94,0,0,1.06,4.25,0,3.19,8.5,0,2.12,0,0,0,204.97,0,6.37,9.56,5.31,1.06,0,1.06,0,0,0,0,0,0,3.19,0,2.12,2.12,2.12,0
 96-106,0,1.09,0,3.28,0,2.19,10.93,0,5.46,0,1.09,0,143.16,0,4.37,3.28,8.74,0,0,0,2.19,0,0,1.09,0,0,1.09,1.09,7.65,3.28,2.19,0
108-118,0,0,0,1.53,1.53,5.36,5.36,0.77,3.83,0.77,0,0,121.02,0,3.06,3.83,8.43,0,0,0,3.83,0.77,0,0,0,0,2.3,0,3.06,0.77,1.53,0
120,0,3.92,0,3.92,0,0,1.96,0,0,0,0,0,70.55,1.96,3.92,11.76,13.72,0,0,0,0,0,0,0,0,0,0,0,0,1.96,1.96,0
