stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.43,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,26.29,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,25,1,0,1,1,0,3,2,1,4,7,0,0,9
 24-34,0,0,0,0,0.82,0,0,10.67,0,0,1.64,0,0,0,0,0,0,0,0,3.28,17.24,0,0,7.39,189.62,4.93,4.1,0.82,0,0,1.64,0,0,0.82,26.27,0.82,0,40.22
 36-46,0,0,0,0,0.81,0,0,12.89,0.81,0,9.67,0,0,0,0,0,0,0.81,0,0,32.23,0,0,4.83,209.47,8.86,2.42,0,0,0,1.61,0,1.61,0,49.15,0,0,27.39
 48-58,0,0,0,0,1.72,0.57,0,16.64,0,0.57,17.21,0,0,0.57,0,0,0,0,0.57,0,41.89,0,0,4.02,168.12,3.44,4.02,0.57,0,0,0,0,0,0,68.28,0.57,0,18.94
 60-70,0,0,0,0,1.96,0,0,27.48,0,1.96,32.39,0,0,0,0,0,0,0,0,0,47.11,0,0,5.89,219.86,3.93,4.91,0,0,0,2.94,0,0.98,0,81.47,0.98,0,19.63
 72-82,0,0,0,0,3.93,0,0,41.23,0,3.93,103.07,0,0,0,0.98,0,0,0.98,0,1.96,91.29,0,0,5.89,221.86,6.87,10.8,1.96,0,0,0.98,0,0,0,56.94,1.96,0.98,19.63
 84-94,0,0,1.06,0,1.06,0,0,24.43,0,3.19,60.54,0,0,1.06,0,0,0,0,0,3.19,70.09,0,0,7.43,114.7,8.5,7.43,0,0,0,5.31,0,0,0,29.74,0,0,15.93
 96-106,0,0,0,0,3.28,1.09,0,28.41,1.09,4.37,69.94,1.09,0,1.09,0,1.09,1.09,0,0,4.37,72.13,0,0,3.28,120.21,3.28,10.93,0,0,0,4.37,0,0,0,20.76,1.09,0,9.84
108-118,0,0,0,0,2.3,0,1.53,16.09,1.53,3.06,52.09,0,0,0,0.77,1.53,0,0.77,0.77,5.36,76.6,1.53,0.77,12.26,167.75,4.6,6.89,0,0,0.77,2.3,0,0,0,12.26,0,0,3.06
120,0,0,0,0,3.92,0,0,23.52,0,3.92,33.32,0,0,0,0,0,1.96,0,0,1.96,72.51,1.96,0,5.88,141.1,5.88,1.96,1.96,0,0,1.96,0,1.96,0,5.88,1.96,0,1.96
