stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,158.14,2701.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.49,0,0,0,0,0,0,0,0,0
  5-6,79.69,1121.72,0,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,30.65,0,0,0,24.52,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,5.26,0,0,23.66,0,0,0,0,18.4,0,0,0,0,0,0,0,0,283.9,15.77,0,0,78.86,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,12.59,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,191.97,12.59,0,0,88.12,0,6.29,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,6,79,6,10,0,0,9,1,0,0,3,0,0,17,0,0,4,70,0,0,0,6,2,4,15,3,14,29,0,2,0,0
 24-34,0,0,0,2.46,22.98,0,8.21,0,0.82,4.93,5.75,0.82,0,0.82,1.64,1.64,15.6,0.82,0,9.03,68.13,0,0.82,4.1,0,1.64,0.82,0,0,4.1,10.67,0,0.82,0,0
 36-46,0,0,0,0,5.64,0.81,4.03,0.81,0,3.22,0.81,0,0,0,0.81,0,8.06,0,0,1.61,20.95,0,0.81,2.42,0,0,2.42,0,0.81,0,6.45,0,0,0,0
 48-58,0,0,0,0,0.57,0,3.44,0,0,5.16,0,0,0,0,0,0,9.75,0,0,1.15,10.9,0,0.57,1.15,0,0.57,0,0.57,0,0,2.3,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,1.96,0.98,0,3.93,0,0,0,0,0.98,0,9.82,0,0.98,0.98,15.7,0,0.98,0.98,0,0.98,0.98,0,0,0,2.94,0.98,0,0,0
 72-82,0,0,0.98,0,1.96,0,0.98,0,0,4.91,0,0,0.98,0,0.98,0,12.76,0,0.98,0,17.67,0,1.96,0.98,0,0.98,0.98,0,0,0,2.94,0.98,0,0,0
 84-94,0,0,0,0,3.19,0,3.19,0,1.06,2.12,0,0,0,2.12,0,1.06,19.12,0,0,1.06,8.5,0,0,5.31,0,0,0,0,1.06,0,2.12,0,1.06,0,0
 96-106,0,0,1.09,0,2.19,0,2.19,1.09,3.28,3.28,1.09,0,0,0,3.28,0,7.65,0,0,3.28,7.65,0,5.46,3.28,0,0,0,0,0,0,1.09,0,0,1.09,0
108-118,0,0,0,0,1.53,0,1.53,0.77,1.53,7.66,0.77,0,0,0,0.77,1.53,11.49,0,0,0.77,12.26,0,2.3,3.83,0,0,0,0,0,0,1.53,0,0,0,0
120,0,0,1.96,0,5.88,0,1.96,0,0,1.96,1.96,0,0,0,0,0,5.88,0,0,0,13.72,0,1.96,5.88,0,0,0,0,0,0,3.92,0,1.96,1.96,0
