stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,7,3,6,0,0,2,0,1,0,1,0,0,1,0,0,0,82,1,0,0,3,1,1,8,0,2,24,0,0,0,0
 24-34,1.64,0.82,45.15,0,0,4.93,0,0,0,0,0,1.64,16.42,0,0,5.75,257.75,0,0,1.64,0,5.75,0,0,0,2.46,55,0,0,2.46,0
 36-46,1.61,0,91.85,0,0,4.83,0,0,0,0,0,0,16.92,0,0,1.61,187.72,0.81,0,0,0,0.81,0,0,0,0,31.42,0,0,0,0
 48-58,0,0.57,100.42,0,0,4.02,0,0,0.57,0,0,0,14.92,0,0.57,4.59,79.19,0.57,0,1.72,0,0,0,0,0,0,12.05,0,0,1.15,0.57
 60-70,3.93,0,66.74,1.96,0,8.83,0,0,0.98,0,0,0,10.8,0.98,0,0,56.93,0,0,0.98,0,2.94,0,0,0.98,0,2.94,0,0.98,0,0
 72-82,1.96,0,26.5,0,0,4.91,0,0,0,0,0,0,6.87,0,0,0.98,41.23,0,1.96,0.98,0,0.98,0,0,0,0,0,0,0,0.98,0
 84-94,2.12,0,21.24,0,0,2.12,1.06,0,3.19,0,0,0,8.5,0,1.06,2.12,25.49,0,0,0,0,0,0,0,0,0,1.06,2.12,0,2.12,0
 96-106,2.19,0,7.65,0,0,6.56,0,0,1.09,0,0,0,6.56,1.09,0,0,10.93,0,0,0,0,0,0,0,0,0,1.09,0,0,3.28,0
108-118,0.77,0.77,8.43,0,0.77,2.3,0,0,0.77,0.77,0.77,0,3.83,0,0,1.53,16.09,0,0.77,0.77,0,1.53,0,0,0,0,0,0.77,0,0.77,0
120,1.96,0,35.28,0,0,7.84,0,0,3.92,0,0,0,5.88,0,1.96,0,43.12,1.96,0,0,0,0,0,0,0,0,0,0,0,3.92,0
