stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,1,1,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,27,1,0,0,0,1,0,1,11,0,0,0,0
 24-34,0,0,2.46,0.82,9.03,0,0,0.82,1.64,0,0,0,0,0,0,0.82,5.75,0.82,0,1.64,61.56,0.82,0.82,2.46,0.82,0,0,0,14.78,0,4.1,0,0.82
 36-46,0.81,0,1.61,0,16.11,0,0,0.81,4.83,0,0.81,0,0,0,0,0,8.06,0,0,2.42,56.4,0,0,0.81,0.81,0,0,0,12.09,0,1.61,0,0
 48-58,0,0,2.3,0,14.35,0.57,1.15,0.57,4.02,0,0,0,0.57,0,0,0,10.33,0,0.57,1.72,40.17,0,0,0.57,1.15,0,0,0,10.33,0,0.57,0,0
 60-70,0,0,0.98,0,24.54,0,0,0.98,9.82,0,0,0.98,0,0.98,0,0.98,7.85,0,0,1.96,46.13,0,0.98,1.96,0.98,0,0,0,6.87,0.98,1.96,0,0
 72-82,0.98,0.98,0,0,21.6,0,0,0,2.94,0.98,0,0,0,0,0.98,0,16.69,0.98,0.98,0,34.36,0,0.98,0.98,3.93,0,0,0,1.96,0,0.98,0,0
 84-94,0,0,2.12,0,8.5,0,0,0,5.31,1.06,0,1.06,0,0,1.06,1.06,11.68,0,2.12,0,16.99,1.06,0,2.12,4.25,0,1.06,0,0,1.06,0,1.06,0
 96-106,0,0,0,1.09,5.46,0,0,0,3.28,0,0,0,0,1.09,0,0,3.28,0,1.09,2.19,2.19,0,0,1.09,0,0,0,0,2.19,0,0,0,0
108-118,0.77,0,2.3,0,8.43,0,0,0.77,4.6,1.53,0,2.3,0,0.77,0,0,2.3,0,0.77,0.77,16.09,0,0,0.77,0,0,0,0,0,0,0,0,0
120,0,0,7.84,0,9.8,0,0,0,7.84,0,0,0,0,0,1.96,0,5.88,1.96,0,3.92,48.99,0,0,1.96,0,0,0,0,3.92,0,0,0,1.96
