stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,79.07,2372.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,36.78,735.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,7.89,13.14,0,13.14,0,2.63,26.29,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,273.39,26.29,0,0,139.32,0,2.63,5.26,0,0,0,0,0,0,0,0
 10-12,0,28.32,0,40.91,0,3.15,53.5,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,619.95,31.47,0,0,169.94,0,0,0,0,25.18,0,6.29,0,0,0,0
 14-21,0,0,1,2,30,6,35,0,0,22,0,0,1,0,0,1,0,0,1,22,0,12,286,2,3,21,5,0,6,0,10,32,16,173,0,0,0,0
 24-34,0,0,1.64,1.64,10.67,0.82,66.49,0,0,22.98,0,0,0,0,1.64,0.82,0.82,0,0.82,54.18,0,9.85,479.38,1.64,25.45,10.67,0,0,4.93,0,0,19.7,2.46,181.41,0,0,4.93,0
 36-46,0,0,0,0,6.45,1.61,88.62,0,0.81,12.09,0,0,0,0,0,0,0.81,0,0,38.67,0.81,16.11,252.98,0,34.64,8.06,0,0.81,4.03,0,0,5.64,0,114.41,0,0,2.42,0
 48-58,0,0,0,0,1.15,3.44,94.68,0,0,24.67,0.57,0,0,0,0.57,0,1.72,0,0,34.43,1.72,6.31,95.25,0.57,26.97,4.59,0,0,0.57,0,0,2.3,0,63.12,0,0,0,0
 60-70,0,0,0,0,0.98,0.98,69.69,0,1.96,33.37,0,0,0,0,0,0,3.93,0.98,0,36.32,0.98,0.98,64.78,0,24.54,9.82,0,0,0,0,0,2.94,0,31.41,0,0.98,0,0
 72-82,0,0,0.98,0,4.91,0,34.36,0.98,0.98,39.27,0,0,0,0,0,0,2.94,0,0,48.1,0.98,2.94,58.9,0.98,70.68,13.74,0,0,0.98,0,0,1.96,0,26.5,3.93,0.98,2.94,1.96
 84-94,0,0,1.06,2.12,3.19,0,28.68,0,2.12,20.18,0,0,0,1.06,0,0,8.5,1.06,0,36.11,0,5.31,54.16,0,62.66,27.61,0,0,0,0,0,3.19,0,20.18,5.31,1.06,1.06,2.12
 96-106,0,0,0,0,1.09,1.09,26.23,0,0,26.23,1.09,0,0,1.09,1.09,0,16.39,0,0,26.23,1.09,2.19,40.44,0,120.21,22.95,0,0,0,0,0,1.09,0,17.49,1.09,0,2.19,1.09
108-118,0,0,0.77,0,3.83,0.77,12.26,0.77,0.77,16.09,0.77,0,0,3.06,0,0.77,6.89,1.53,0,24.51,0.77,3.06,42.13,0,60.51,16.85,0,0.77,0,0,0,1.53,0,23.74,2.3,0.77,0.77,0.77
120,0,0,0,0,3.92,1.96,13.72,0,0,11.76,0,0,0,5.88,0,1.96,5.88,0,0,19.6,1.96,1.96,23.52,0,56.83,19.6,0,0,0,0,0,3.92,0,11.76,1.96,0,0,0
