stage,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,spinal.cord,taste
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.74,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429.07,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,49.95,2.63,0,0,2.63,102.52,2.63,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,81.82,3.15,0,0,12.59,34.62,0,3.15,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,102,0,0,1,0
 24-34,0,0,6.57,0,0,0,0,0,0,0,4.1,0,1.64,0,0.82,9.85,0.82,8.21,0,0,151.04,0,0,0.82,0
 36-46,0,0,1.61,0,0.81,0,0.81,0,0,0,0,0,0,0.81,0,5.64,0,4.03,0,0,99.9,0,0,0.81,0
 48-58,0,0,5.16,0,4.02,1.15,0,0.57,0,0.57,0.57,1.15,0,0,0,6.89,0,2.3,0,0,56.81,0,0,0.57,0
 60-70,0,0,4.91,0,2.94,0.98,0,0,0,0,0.98,2.94,0.98,0,0,2.94,0,0,0.98,0,60.85,0,0,0.98,0.98
 72-82,0,0.98,10.8,0,0,0,0,0,0,0,0,0.98,0,0,0,2.94,0,0.98,0,0,45.16,0,0,0,0
 84-94,0,0,6.37,0,1.06,1.06,0,0,1.06,0,2.12,4.25,2.12,0,0,1.06,0,4.25,1.06,0,152.93,0,0,0,1.06
 96-106,0,0,13.11,0,2.19,2.19,0,2.19,0,0,2.19,0,3.28,1.09,0,0,0,7.65,2.19,0,108.19,0,0,0,0
108-118,0,0,22.21,0.77,0.77,2.3,0,0,0,0,4.6,1.53,0.77,0.77,0,1.53,0,2.3,0,0,79.66,0,0,0,0.77
120,0,0,9.8,0,0,1.96,0,0,0,0,1.96,0,0,1.96,0,3.92,0,1.96,0,0,43.12,0,0,0,0
