stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,5,0,0,11,0,0,0,0,0,0,0,1,8,0,1,0,0,1,4,0,0,1,64,0,2,0,1,0,0,1,0,1,43,0,0,0,0,6
 24-34,0,0,0.82,0.82,0.82,0,0,6.57,0,0,0,5.75,0.82,3.28,13.95,0,0,0,0,10.67,4.93,0,0,4.1,419.46,0,4.93,3.28,0,0,0,0,0,0,93.58,0,0,2.46,0,9.85
 36-46,0,0,0.81,0,0.81,0,0,107.96,0,0,0,8.06,0.81,2.42,20.95,0,2.42,0,0.81,10.47,18.53,0.81,0,4.03,1128.74,0,8.06,0,0,0,1.61,0,0.81,0,193.36,0,0,0.81,0,12.09
 48-58,0,0,1.15,0,2.3,0.57,0,341.99,0,0,1.72,24.67,0,1.15,23.53,0,0.57,0.57,0,12.62,28.69,0.57,0,2.3,1241.14,0,2.3,0,0,0,0.57,0,0,0,228.95,0,0,2.3,0,16.07
 60-70,0,0,0.98,0,3.93,1.96,0,535.91,0,0.98,3.93,39.26,0,1.96,36.32,0.98,3.93,0,0,10.8,30.43,1.96,2.94,0.98,1116.97,0,3.93,0.98,0,0,2.94,0,0,0,149.19,0,2.94,0.98,0,12.76
 72-82,0,0,1.96,0,6.87,1.96,0,436.84,0,0,1.96,26.5,2.94,0,47.12,0,3.93,0.98,0.98,13.74,58.9,1.96,0.98,5.89,868.77,0,0,0.98,0,0,1.96,0,0,0,80.5,0.98,2.94,4.91,0.98,16.69
 84-94,0,0,3.19,0,8.5,0,0,259.14,1.06,2.12,3.19,24.43,3.19,1.06,94.52,1.06,9.56,0,3.19,22.3,33.99,0,4.25,1.06,431.19,0,1.06,3.19,0,1.06,1.06,0,1.06,0,57.35,0,2.12,4.25,1.06,22.3
 96-106,0,0,2.19,0,14.21,7.65,0,205.46,0,0,5.46,16.39,4.37,0,83.06,0,8.74,0,1.09,15.3,22.95,0,0,3.28,302.72,0,4.37,3.28,0,1.09,1.09,0,0,0,18.58,1.09,0,1.09,0,25.14
108-118,0,0,0,0,6.89,1.53,1.53,168.51,0,0.77,0,19.15,0,0,87.32,0.77,16.85,0,3.06,22.21,18.38,2.3,0.77,2.3,332.43,0,6.13,1.53,0,0.77,3.06,0,0,0,14.55,0.77,0,2.3,0,19.15
120,0,0,0,0,7.84,3.92,0,141.1,0,1.96,1.96,23.52,1.96,0,66.63,0,9.8,0,3.92,9.8,21.56,0,0,1.96,337.08,0,0,0,0,0,0,0,0,0,19.6,0,1.96,1.96,0,15.68
