stage,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0
 24-34,1.64,0,0.82,0.82,0,0,0,0.82,0,1.64,0,3.28,0,1.64,17.24,0,4.1,0,0,0,0,0.82,0,0.82,13.95,0,0,0
 36-46,0.81,0,0,4.83,0,0,0,0,0,0,0,3.22,0.81,0,32.23,2.42,0,0,0,0,0,0,0,0.81,8.86,0,0,0
 48-58,1.15,0.57,9.75,9.18,0.57,0,0.57,0,0,0,0,13.2,1.15,1.72,59.1,0,2.3,0,0,0,0,0,1.72,0,10.33,0.57,0.57,0.57
 60-70,0,0,15.7,11.78,0,0.98,0,0,0,0,0,22.58,5.89,0.98,79.5,0,0,0,0,4.91,0,0,1.96,0,9.82,3.93,0,1.96
 72-82,0,0,27.49,1.96,0.98,1.96,0,0,0.98,0,0,21.6,4.91,2.94,95.22,0,4.91,0.98,0,11.78,0,0,1.96,0,6.87,2.94,0,3.93
 84-94,2.12,0,16.99,5.31,1.06,1.06,0,0,0,1.06,0,16.99,7.43,3.19,37.17,0,4.25,0,0,5.31,1.06,0,0,0,2.12,1.06,0,8.5
 96-106,2.19,1.09,29.51,10.93,0,3.28,0,0,0,0,1.09,18.58,2.19,3.28,39.34,0,2.19,0,0,12.02,2.19,0,4.37,0,4.37,1.09,0,8.74
108-118,1.53,0,10.72,5.36,0.77,3.06,0,0,0,0,0,16.09,4.6,6.89,36,1.53,2.3,0.77,0,13.79,0.77,0,3.06,0,0.77,1.53,0,6.89
120,0,0,17.64,11.76,0,3.92,0,0,0,0,0,17.64,0,13.72,78.39,0,5.88,0,1.96,21.56,1.96,0,1.96,0,1.96,3.92,0,5.88
