stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,immune,lateral.line,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,545.54,6.13,0,0,0,0,0,0,0,0,0,24.52,0,6.13,6.13,0,0,0,0
  7-9,0,5.26,7.89,0,0,15.77,0,7.89,0,0,0,0,144.58,2.63,57.83,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,91.26,0,37.76,0,0,6.29,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,0,0,0,2.46,0,0,0.82,0,0,0.82,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0.81,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,2.3,0.57,0,0,0,0.57,0.57,1.15,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,1.09,1.09,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0
