stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,85.81,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,55.17,0,6.13,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,28.92,0,0,0,0,0,92,0,0,0,0,0,0,0,34.17,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,84.97,0,0,0,0,0,0,0,12.59,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,14,0,1,0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0.82,6.57,0,0,0,2.46,5.75,2.46,0.82,8.21,0,0,0.82,0,1.64,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0.81,4.83,0,0,0,0.81,34.64,1.61,0,5.64,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,9.75,0,0,1.15,7.46,0,0,0.57,0,33.28,1.15,0,7.46,0,0,0,0,1.15,0,0,0,0,0.57
 60-70,0,0,0,0,20.61,0,0,0.98,5.89,0,0,0,0,15.7,0.98,0,5.89,0,0,0.98,0,1.96,0,0,0,0,0
 72-82,0,0,0,0.98,36.32,0,0,1.96,3.93,1.96,0,0,0,9.82,0.98,0,7.85,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,76.47,1.06,1.06,0,7.43,1.06,0,0,0,25.49,3.19,0,4.25,0,0,0,0,0,0,1.06,0,1.06,0
 96-106,0,0,0,0,59.01,0,0,0,0,1.09,0,1.09,2.19,22.95,1.09,0,10.93,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,68.94,0,0,1.53,0,0,0,1.53,1.53,38.3,0.77,0,4.6,0,0,0,0,0,0.77,0,0.77,0,0
120,0,0,0,0,17.64,0,0,0,0,3.92,0,0,0,7.84,3.92,0,7.84,1.96,0,1.96,0,0,0,0,0,0,0
