stage,blastomeres,fin.mesenchyme,glial,heart,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,pericytes,presomitic.mesoderm,spinal.cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
 24-34,0,0,0,0,0,0,0.82,0,1.64,0.82,0,0,0,0,0,0,0
 36-46,0,0.81,0,0,0,0,3.22,0,0,1.61,0.81,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,0.57,0.57,0,0,1.15,0,0,0,0,0,0,0.57
 60-70,0,0,1.96,0,0,0,2.94,0,0,0,0,0,0,0,0,2.94,0
 72-82,0,0,0.98,0,0.98,0,1.96,0.98,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,1.06,1.06,0,0,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,1.09,0,0,0,0,0,1.09,0
108-118,0,0,0.77,0,0.77,0,5.36,0,0.77,1.53,0,0,0,0,0,2.3,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,3.92,0
