stage,axial,blastomeres,epidermis,eye,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle
  3-4,26.36,329.45,0,0,0,0,0,0,0,0,0,0
  5-6,0,153.24,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,13.14,2.63,0,0,0
 10-12,0,0,0,6.29,0,0,0,3.15,3.15,0,0,0
 14-21,0,0,1,0,0,0,0,1,0,1,0,0
 24-34,0,0,0,0,0,0,0,3.28,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,2.42,0,0,0.81,0
 48-58,0,0,0,1.15,0.57,0,0,3.44,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,2.94,0,0,0,0.98
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0.77,0,0,0,0
