stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,2,0,0,0,1,0,0,0,7,44,37,0,0,0,0,0,0
 24-34,0,0,1.64,0,0,9.85,186.33,0.82,0,0,0.82,3.28,0,0,0.82,0,0,0,0,9.03,0,0,25.45,75.52,0.82,0,0,0,0,3.28,0,21.34,99.32,59.1,11.49,0,0,1.64,0,0.82
 36-46,0,0.81,3.22,0,0,10.47,396.39,0,0,0.81,1.61,3.22,0,0,0.81,0.81,0.81,0.81,0,8.86,0.81,0,16.92,91.04,1.61,0.81,0,0,0,4.03,0.81,12.09,110.38,4.83,8.06,0,0,2.42,0,0.81
 48-58,0,0,4.02,0.57,0,39.02,387.32,0,0,9.75,0,2.87,0,0.57,0,0.57,0.57,1.15,0,16.07,0.57,0.57,16.07,105.58,0,1.72,1.72,0,0,1.72,0,6.89,114.76,0,25.25,0,0,1.72,0,1.15
 60-70,0.98,0,6.87,0.98,0,29.45,189.43,0.98,1.96,8.83,0,0,0,1.96,0,0,0.98,0.98,0,11.78,0.98,0,10.8,58.89,0,0.98,0.98,0,0,1.96,0,4.91,72.63,0,9.82,0,0.98,0,0,2.94
 72-82,3.93,0,3.93,0.98,0,21.6,90.31,0,0.98,4.91,0.98,0,0,0,4.91,0,1.96,0,0,18.65,0,0.98,8.83,46.14,0,0.98,1.96,0,0,0.98,0,4.91,46.14,0,3.93,0.98,0.98,0,1.96,0.98
 84-94,0,0,8.5,2.12,0,24.43,155.06,0,4.25,7.43,1.06,1.06,1.06,0,8.5,0,2.12,2.12,0,20.18,0,0,6.37,41.42,0,0,3.19,0,0,7.43,0,8.5,79.65,0,0,0,4.25,3.19,2.12,1.06
 96-106,2.19,0,12.02,7.65,0,31.69,264.47,0,2.19,6.56,0,0,0,4.37,9.84,0,1.09,3.28,2.19,28.41,2.19,0,9.84,37.16,1.09,0,6.56,1.09,0,15.3,0,5.46,85.24,0,3.28,0,1.09,5.46,2.19,2.19
108-118,0.77,0,3.83,3.83,0,17.62,178.47,0,0.77,4.6,0,0,0,2.3,9.19,0,1.53,3.06,0,19.15,0,3.83,11.49,45.19,1.53,0.77,4.6,0,1.53,5.36,0,2.3,68.17,0,0,0,0,2.3,1.53,0.77
120,1.96,0,1.96,7.84,1.96,13.72,74.47,0,0,11.76,1.96,0,0,0,7.84,0,0,1.96,0,5.88,0,0,9.8,35.28,0,0,1.96,0,0,1.96,1.96,3.92,23.52,0,1.96,0,1.96,1.96,0,0
